file	taxid	url
GCF_001553685.1_ASM155368v1_genomic.fna	712633	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/685/GCF_001553685.1_ASM155368v1/GCF_001553685.1_ASM155368v1_genomic.fna.gz
GCF_003713065.1_ASM371306v1_genomic.fna	2480923	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/713/065/GCF_003713065.1_ASM371306v1/GCF_003713065.1_ASM371306v1_genomic.fna.gz
GCF_002021755.1_ASM202175v1_genomic.fna	696485	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/021/755/GCF_002021755.1_ASM202175v1/GCF_002021755.1_ASM202175v1_genomic.fna.gz
GCF_003015185.1_ASM301518v1_genomic.fna	2021234	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/015/185/GCF_003015185.1_ASM301518v1/GCF_003015185.1_ASM301518v1_genomic.fna.gz
GCF_000317635.1_ASM31763v1_genomic.fna	65093	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/635/GCF_000317635.1_ASM31763v1/GCF_000317635.1_ASM31763v1_genomic.fna.gz
GCF_004124255.1_ASM412425v1_genomic.fna	1302376	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/255/GCF_004124255.1_ASM412425v1/GCF_004124255.1_ASM412425v1_genomic.fna.gz
GCF_000015785.1_ASM1578v1_genomic.fna	326423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/785/GCF_000015785.1_ASM1578v1/GCF_000015785.1_ASM1578v1_genomic.fna.gz
GCF_000283695.1_ASM28369v1_genomic.fna	1114958	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/695/GCF_000283695.1_ASM28369v1/GCF_000283695.1_ASM28369v1_genomic.fna.gz
GCF_000284395.1_ASM28439v1_genomic.fna	1155777	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/395/GCF_000284395.1_ASM28439v1/GCF_000284395.1_ASM28439v1_genomic.fna.gz
GCF_000319475.1_ASM31947v1_genomic.fna	1225788	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/319/475/GCF_000319475.1_ASM31947v1/GCF_000319475.1_ASM31947v1_genomic.fna.gz
GCF_000341875.1_ASM34187v1_genomic.fna	1150475	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/875/GCF_000341875.1_ASM34187v1/GCF_000341875.1_ASM34187v1_genomic.fna.gz
GCF_000455565.1_ucmb5033v1_genomic.fna	1338518	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/565/GCF_000455565.1_ucmb5033v1/GCF_000455565.1_ucmb5033v1_genomic.fna.gz
GCF_000455585.1_ucmb5113v1_genomic.fna	1150476	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/585/GCF_000455585.1_ucmb5113v1/GCF_000455585.1_ucmb5113v1_genomic.fna.gz
GCF_000493375.1_BAPNAU_WGS_genomic.fna	1385727	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/375/GCF_000493375.1_BAPNAU_WGS/GCF_000493375.1_BAPNAU_WGS_genomic.fna.gz
GCF_000583065.1_ASM58306v1_genomic.fna	1449088	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/583/065/GCF_000583065.1_ASM58306v1/GCF_000583065.1_ASM58306v1_genomic.fna.gz
GCF_000685725.1_ASM68572v1_genomic.fna	1423138	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/725/GCF_000685725.1_ASM68572v1/GCF_000685725.1_ASM68572v1_genomic.fna.gz
GCF_000973585.1_ASM97358v1_genomic.fna	1458206	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/585/GCF_000973585.1_ASM97358v1/GCF_000973585.1_ASM97358v1_genomic.fna.gz
GCF_001189535.1_ASM118953v1_genomic.fna	1658671	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/535/GCF_001189535.1_ASM118953v1/GCF_001189535.1_ASM118953v1_genomic.fna.gz
GCF_002165295.2_ASM216529v2_genomic.fna	2004647	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/165/295/GCF_002165295.2_ASM216529v2/GCF_002165295.2_ASM216529v2_genomic.fna.gz
GCF_002165305.2_ASM216530v2_genomic.fna	2004646	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/165/305/GCF_002165305.2_ASM216530v2/GCF_002165305.2_ASM216530v2_genomic.fna.gz
GCF_002165255.2_ASM216525v2_genomic.fna	2004644	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/165/255/GCF_002165255.2_ASM216525v2/GCF_002165255.2_ASM216525v2_genomic.fna.gz
GCF_000020945.1_ASM2094v1_genomic.fna	309798	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/945/GCF_000020945.1_ASM2094v1/GCF_000020945.1_ASM2094v1_genomic.fna.gz
GCF_003366055.1_ASM336605v1_genomic.fna	2066483	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/366/055/GCF_003366055.1_ASM336605v1/GCF_003366055.1_ASM336605v1_genomic.fna.gz
GCF_002288505.1_ASM228850v1_genomic.fna	794846	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/505/GCF_002288505.1_ASM228850v1/GCF_002288505.1_ASM228850v1_genomic.fna.gz
GCF_001581975.1_ASM158197v1_genomic.fna	1809055	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/581/975/GCF_001581975.1_ASM158197v1/GCF_001581975.1_ASM158197v1_genomic.fna.gz
GCF_000709555.1_ASM70955v1_genomic.fna	1415657	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/555/GCF_000709555.1_ASM70955v1/GCF_000709555.1_ASM70955v1_genomic.fna.gz
GCF_000508205.1_ASM50820v1_genomic.fna	1415630	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/508/205/GCF_000508205.1_ASM50820v1/GCF_000508205.1_ASM50820v1_genomic.fna.gz
GCF_000092425.1_ASM9242v1_genomic.fna	649638	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/425/GCF_000092425.1_ASM9242v1/GCF_000092425.1_ASM9242v1_genomic.fna.gz
GCF_002902985.1_ASM290298v1_genomic.fna	1920114	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/902/985/GCF_002902985.1_ASM290298v1/GCF_002902985.1_ASM290298v1_genomic.fna.gz
GCF_000940825.1_ASM94082v1_genomic.fna	129394	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/940/825/GCF_000940825.1_ASM94082v1/GCF_000940825.1_ASM94082v1_genomic.fna.gz
GCF_001466505.1_ASM146650v1_genomic.fna	64187	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/466/505/GCF_001466505.1_ASM146650v1/GCF_001466505.1_ASM146650v1_genomic.fna.gz
GCF_002934585.1_ASM293458v1_genomic.fna	1920110	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/585/GCF_002934585.1_ASM293458v1/GCF_002934585.1_ASM293458v1_genomic.fna.gz
GCF_001021935.1_ASM102193v1_genomic.fna	487909	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/935/GCF_001021935.1_ASM102193v1/GCF_001021935.1_ASM102193v1_genomic.fna.gz
GCF_000175115.2_ASM17511v2_genomic.fna	443143	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/115/GCF_000175115.2_ASM17511v2/GCF_000175115.2_ASM17511v2_genomic.fna.gz
GCF_003952345.1_ASM395234v1_genomic.fna	2496266	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/345/GCF_003952345.1_ASM395234v1/GCF_003952345.1_ASM395234v1_genomic.fna.gz
GCF_000093025.1_ASM9302v1_genomic.fna	666681	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/025/GCF_000093025.1_ASM9302v1/GCF_000093025.1_ASM9302v1_genomic.fna.gz
GCF_002843965.1_ASM284396v1_genomic.fna	162426	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/843/965/GCF_002843965.1_ASM284396v1/GCF_002843965.1_ASM284396v1_genomic.fna.gz
GCF_001664485.1_ASM166448v1_genomic.fna	1703969	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/485/GCF_001664485.1_ASM166448v1/GCF_001664485.1_ASM166448v1_genomic.fna.gz
GCF_002222635.1_ASM222263v1_genomic.fna	1402135	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/635/GCF_002222635.1_ASM222263v1/GCF_002222635.1_ASM222263v1_genomic.fna.gz
