Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,lane,LibraryLayout,LibrarySelection,LibrarySource,Organism,plate,Platform,ReleaseDate,Sample Name,source_name,SRA Study,status,time,well
SRR6815581,RNA-Seq,150,264085350,PRJNA437328,SAMN08649244,105318606,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772545,GSM3032979,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032979,Monocyte-derived dendritic cells,SRP134127,BULK,2h,A1
SRR6815582,RNA-Seq,150,241757250,PRJNA437328,SAMN08649243,96875030,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772546,GSM3032980,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032980,Monocyte-derived dendritic cells,SRP134127,exposed,2h,E2
SRR6815583,RNA-Seq,150,292201350,PRJNA437328,SAMN08649242,115904351,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772547,GSM3032981,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032981,Monocyte-derived dendritic cells,SRP134127,BULK,4h,A4
SRR6815584,RNA-Seq,150,314346150,PRJNA437328,SAMN08649241,126097011,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772548,GSM3032982,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032982,Monocyte-derived dendritic cells,SRP134127,exposed,4h,E5
SRR6815585,RNA-Seq,150,305981700,PRJNA437328,SAMN08649240,121675593,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772549,GSM3032983,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032983,Monocyte-derived dendritic cells,SRP134127,BULK,6h,A7
SRR6815586,RNA-Seq,150,299176200,PRJNA437328,SAMN08649233,119403599,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772550,GSM3032984,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032984,Monocyte-derived dendritic cells,SRP134127,exposed,6h,E8
SRR6815587,RNA-Seq,150,253853550,PRJNA437328,SAMN08649232,102189726,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772551,GSM3032985,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032985,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,A10
SRR6815588,RNA-Seq,150,257761800,PRJNA437328,SAMN08649231,103697601,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772552,GSM3032986,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032986,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,E11
SRR6815589,RNA-Seq,150,263938650,PRJNA437328,SAMN08649198,105552332,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772553,GSM3032987,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032987,Monocyte-derived dendritic cells,SRP134127,exposed,2h,B1
SRR6815590,RNA-Seq,150,187627800,PRJNA437328,SAMN08649197,85916987,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772554,GSM3032988,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032988,Monocyte-derived dendritic cells,SRP134127,exposed,2h,F2
SRR6815591,RNA-Seq,150,307095600,PRJNA437328,SAMN08649196,122277179,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772555,GSM3032989,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032989,Monocyte-derived dendritic cells,SRP134127,exposed,4h,B4
SRR6815592,RNA-Seq,150,231260250,PRJNA437328,SAMN08649195,102612025,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772556,GSM3032990,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032990,Monocyte-derived dendritic cells,SRP134127,exposed,4h,F5
SRR6815593,RNA-Seq,150,329552700,PRJNA437328,SAMN08649194,132005630,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772557,GSM3032991,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032991,Monocyte-derived dendritic cells,SRP134127,exposed,6h,B7
SRR6815594,RNA-Seq,150,338151600,PRJNA437328,SAMN08649193,135677295,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772558,GSM3032992,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032992,Monocyte-derived dendritic cells,SRP134127,exposed,6h,F8
SRR6815595,RNA-Seq,150,336433950,PRJNA437328,SAMN08649192,134285755,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772559,GSM3032993,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032993,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,B10
SRR6815596,RNA-Seq,150,302641800,PRJNA437328,SAMN08649191,122046583,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772560,GSM3032994,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032994,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,F11
SRR6815597,RNA-Seq,150,206858100,PRJNA437328,SAMN08649190,83960695,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772561,GSM3032995,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032995,Monocyte-derived dendritic cells,SRP134127,exposed,2h,C1
SRR6815598,RNA-Seq,150,237182400,PRJNA437328,SAMN08649189,95968323,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772562,GSM3032996,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032996,Monocyte-derived dendritic cells,SRP134127,exposed,2h,G2
SRR6815599,RNA-Seq,150,161125650,PRJNA437328,SAMN08649250,66638513,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772563,GSM3032997,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032997,Monocyte-derived dendritic cells,SRP134127,exposed,4h,C4
SRR6815600,RNA-Seq,150,274448250,PRJNA437328,SAMN08649249,109657214,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772564,GSM3032998,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032998,Monocyte-derived dendritic cells,SRP134127,exposed,4h,G5
SRR6815601,RNA-Seq,150,254694150,PRJNA437328,SAMN08649248,102831719,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772565,GSM3032999,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3032999,Monocyte-derived dendritic cells,SRP134127,exposed,6h,C7
SRR6815602,RNA-Seq,150,278437200,PRJNA437328,SAMN08649188,113388186,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772566,GSM3033000,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033000,Monocyte-derived dendritic cells,SRP134127,exposed,6h,G8
SRR6815603,RNA-Seq,150,271877550,PRJNA437328,SAMN08649254,109655344,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772567,GSM3033001,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033001,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,C10
SRR6815604,RNA-Seq,150,241706850,PRJNA437328,SAMN08649253,97504082,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772568,GSM3033002,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033002,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,G11
