Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,source_name,disease,disease_state,Cell_Line,cell_morphology,tissue
SRR8096019,RNA-Seq,300,188007000,PRJNA382695,SAMN10280232,96821091,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4922869,GSM3443113,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,188,92,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968187,GSM3443113,SRP103839,,,,,,
SRR8096020,RNA-Seq,300,117020400,PRJNA382695,SAMN10280231,59756768,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4922870,GSM3443114,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,117,56,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968188,GSM3443114,SRP103839,CRC,Carcinoma,,,,
SRR8096021,RNA-Seq,300,241307400,PRJNA382695,SAMN10280230,123148825,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4922871,GSM3443115,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,241,117,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968191,GSM3443115,SRP103839,CRC,Carcinoma,,,,
SRR8096022,RNA-Seq,300,188525100,PRJNA382695,SAMN10280229,96247412,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4922872,GSM3443116,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,188,91,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968193,GSM3443116,SRP103839,CRC,Carcinoma,,,,
SRR8096023,RNA-Seq,300,275145000,PRJNA382695,SAMN10280228,139390115,GEO,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4922873,GSM3443117,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,275,132,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968194,GSM3443117,SRP103839,CRC,Carcinoma,,,,
SRR8096024,RNA-Seq,300,179653500,PRJNA382695,SAMN10280227,91969689,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4922874,GSM3443118,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,179,87,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968195,GSM3443118,SRP103839,CRC,Carcinoma,,,,
SRR8096025,RNA-Seq,300,169332000,PRJNA382695,SAMN10280226,86253704,GEO,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4922875,GSM3443119,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,169,82,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968197,GSM3443119,SRP103839,CRC,Carcinoma,,,,
SRR8096026,RNA-Seq,300,229068000,PRJNA382695,SAMN10280225,116829746,GEO,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4922876,GSM3443120,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,229,111,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968198,GSM3443120,SRP103839,CRC,Carcinoma,,,,
SRR8096027,RNA-Seq,300,357468000,PRJNA382695,SAMN10280224,180452794,GEO,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4922877,GSM3443121,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,357,172,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968199,GSM3443121,SRP103839,CRC,Carcinoma,,,,
SRR8096029,RNA-Seq,300,205051200,PRJNA382695,SAMN10280222,103863101,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4922879,GSM3443123,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,205,99,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968201,GSM3443123,SRP103839,CRC,Carcinoma,,,,
SRR8096030,RNA-Seq,300,163648800,PRJNA382695,SAMN10280221,83843159,GEO,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX4922880,GSM3443124,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,163,79,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968203,GSM3443124,SRP103839,CRC,Carcinoma,,,,
SRR8096031,RNA-Seq,300,232333800,PRJNA382695,SAMN10280220,118238964,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4922881,GSM3443125,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,232,112,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968205,GSM3443125,SRP103839,CRC,Carcinoma,,,,
SRR8096032,RNA-Seq,300,373042200,PRJNA382695,SAMN10280219,187028198,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4922882,GSM3443126,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,373,178,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968202,GSM3443126,SRP103839,CRC,Carcinoma,,,,
SRR8096033,RNA-Seq,300,292822200,PRJNA382695,SAMN10280218,146724291,GEO,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4922883,GSM3443127,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,292,139,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968204,GSM3443127,SRP103839,CRC,Carcinoma,,,,
SRR8096034,RNA-Seq,300,359276700,PRJNA382695,SAMN10280217,180463848,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4922884,GSM3443128,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,359,172,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968206,GSM3443128,SRP103839,CRC,Carcinoma,,,,
SRR8096035,RNA-Seq,300,352720500,PRJNA382695,SAMN10280216,176002447,GEO,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4922885,GSM3443129,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,352,167,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968207,GSM3443129,SRP103839,CRC,Carcinoma,,,,
SRR8096036,RNA-Seq,300,269761200,PRJNA382695,SAMN10280215,134884429,GEO,public,sra,"gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4922886,GSM3443130,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,269,128,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968208,GSM3443130,SRP103839,CRC,Carcinoma,,,,
