Sample_title	sample	GEO_Accession	patient
scTrioSeq2Rna_CRC01_LN1_161	SRR5824390	GSM2696954	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_162	SRR5824391	GSM2696955	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_163	SRR5824392	GSM2696956	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_164	SRR5824393	GSM2696957	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_165	SRR5824394	GSM2696958	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_166	SRR5824395	GSM2696959	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_167	SRR5824396	GSM2696960	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_168	SRR5824397	GSM2696961	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_169	SRR5824398	GSM2696962	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_171	SRR5824399	GSM2696963	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_172	SRR5824400	GSM2696964	CRC01_LN1
scTrioSeq2Rna_CRC01_LN1_174	SRR5824401	GSM2696965	CRC01_LN1
scTrioSeq2Rna_CRC01_LN2_179	SRR5824402	GSM2696966	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_185	SRR5824403	GSM2696967	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_189	SRR5824404	GSM2696968	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_190	SRR5824405	GSM2696969	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_191	SRR5824406	GSM2696970	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_194	SRR5824407	GSM2696971	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_195	SRR5824408	GSM2696972	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_196	SRR5824409	GSM2696973	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_200	SRR5824410	GSM2696974	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_453	SRR5824411	GSM2696975	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_454	SRR5824412	GSM2696976	CRC01_LN2
scTrioSeq2Rna_CRC01_LN2_458	SRR5824413	GSM2696977	CRC01_LN2
scTrioSeq2Rna_CRC01_LN3_241	SRR5824414	GSM2696978	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_242	SRR5824415	GSM2696979	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_243	SRR5824416	GSM2696980	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_244	SRR5824417	GSM2696981	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_245	SRR5824418	GSM2696982	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_246	SRR5824419	GSM2696983	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_247	SRR5824420	GSM2696984	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_248	SRR5824421	GSM2696985	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_249	SRR5824422	GSM2696986	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_250	SRR5824423	GSM2696987	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_252	SRR5824424	GSM2696988	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_254	SRR5824425	GSM2696989	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_263	SRR5824427	GSM2696991	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_273	SRR5824428	GSM2696992	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_274	SRR5824429	GSM2696993	CRC01_LN3
scTrioSeq2Rna_CRC01_LN3_440	SRR5824430	GSM2696994	CRC01_LN3
scTrioSeq2Rna_CRC01_ML1_002	SRR5824431	GSM2696995	CRC01_ML1
scTrioSeq2Rna_CRC01_ML1_004	SRR5824432	GSM2696996	CRC01_ML1
scTrioSeq2Rna_CRC01_ML1_005	SRR5824433	GSM2696997	CRC01_ML1
