patient	sample	lane	R1_path	R2_path
13538	13538	S15_L001	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L001_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L001_R2_001.fastq.gz
13538	13538	S15_L002	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L002_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L002_R2_001.fastq.gz
13538	13538	S15_L003	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L003_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L003_R2_001.fastq.gz
13538	13538	S15_L004	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L004_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/13538_S15_L004_R2_001.fastq.gz
16235	16235	S16_L001	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L001_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L001_R2_001.fastq.gz
16235	16235	S16_L002	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L002_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L002_R2_001.fastq.gz
16235	16235	S16_L003	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L003_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L003_R2_001.fastq.gz
16235	16235	S16_L004	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L004_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/16235_S16_L004_R2_001.fastq.gz
20121	20121	S10_L001	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L001_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L001_R2_001.fastq.gz
20121	20121	S10_L002	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L002_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L002_R2_001.fastq.gz
20121	20121	S10_L003	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L003_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L003_R2_001.fastq.gz
20121	20121	S10_L004	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L004_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/20121_S10_L004_R2_001.fastq.gz
27173	27173	S14_L001	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L001_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L001_R2_001.fastq.gz
27173	27173	S14_L002	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L002_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L002_R2_001.fastq.gz
27173	27173	S14_L003	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L003_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L003_R2_001.fastq.gz
27173	27173	S14_L004	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L004_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/27173_S14_L004_R2_001.fastq.gz
28537	28537	S9_L001	/data/Robinson-SB/Bukavina2022/10xfiles/28537_S9_L001_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/28537_S9_L001_R2_001.fastq.gz
28537	28537	S9_L002	/data/Robinson-SB/Bukavina2022/10xfiles/28537_S9_L002_R1_001.fastq.gz	/data/Robinson-SB/Bukavina2022/10xfiles/28537_S9_L002_R2_001.fastq.gz
