sample	type	index	index2	index3
BC01_02	SC	Tumor	Tumor	Tumor
BC01_03	SC	Tumor	Tumor	Tumor
BC01_04	SC	Tumor	Tumor	Tumor
BC01_05	SC	Tumor	Tumor	Tumor
BC01_06	SC	Tumor	Tumor	Tumor
BC01_08	SC	Tumor	Tumor	Tumor
BC01_10	SC	Tumor	Tumor	Tumor
BC01_12	SC	Tumor	Tumor	Tumor
BC01_33	SC	Tumor	Tumor	Tumor
BC01_34	SC	Tumor	Tumor	Tumor
BC01_50	SC	nonTumor	Stromal	Stromal
BC01_53	SC	Tumor	Tumor	Tumor
BC01_55	SC	Tumor	Tumor	Tumor
BC01_57	SC	Tumor	Tumor	Tumor
BC01_66	SC	Tumor	Tumor	Tumor
BC01_69	SC	Tumor	Tumor	Tumor
BC01_70	SC	Tumor	Tumor	Tumor
BC01_72	SC	Tumor	Tumor	Tumor
BC01_74	SC	nonTumor	Stromal	Stromal
BC01_77	SC	Tumor	Tumor	Tumor
BC01_87	SC	Tumor	Tumor	Tumor
BC01_95	SC	Tumor	Tumor	Tumor
BC01_Pooled	Bulk	Tumor	Tumor	Tumor
BC04_01	SC	Tumor	Tumor	Tumor
BC04_02	SC	Tumor	Tumor	Tumor
BC04_07	SC	Tumor	Tumor	Tumor
BC04_08	SC	nonTumor	Stromal	Stromal
BC04_09	SC	Tumor	Tumor	Tumor
BC04_11	SC	Tumor	Tumor	Tumor
BC04_13	SC	Tumor	Tumor	Tumor
BC04_14	SC	Tumor	Tumor	Tumor
BC04_16	SC	Tumor	Tumor	Tumor
BC04_20	SC	Tumor	Tumor	Tumor
BC04_21	SC	nonTumor	Immune	Myeloid
BC04_22	SC	Tumor	Tumor	Tumor
BC04_23	SC	Tumor	Tumor	Tumor
BC04_24	SC	Tumor	Tumor	Tumor
BC04_27	SC	Tumor	Tumor	Tumor
BC04_28	SC	Tumor	Tumor	Tumor
BC04_29	SC	Tumor	Tumor	Tumor
BC04_30	SC	Tumor	Tumor	Tumor
BC04_31	SC	Tumor	Tumor	Tumor
BC04_32	SC	Tumor	Tumor	Tumor
BC04_33	SC	Tumor	Tumor	Tumor
BC04_35	SC	nonTumor	Immune	Myeloid
BC04_36	SC	Tumor	Tumor	Tumor
BC04_37	SC	Tumor	Tumor	Tumor
BC04_39	SC	Tumor	Tumor	Tumor
BC04_40	SC	Tumor	Tumor	Tumor
BC04_41	SC	Tumor	Tumor	Tumor
BC04_45	SC	Tumor	Tumor	Tumor
BC04_49	SC	Tumor	Tumor	Tumor
BC04_53	SC	Tumor	Tumor	Tumor
BC04_54	SC	Tumor	Tumor	Tumor
BC04_56	SC	Tumor	Tumor	Tumor
BC04_58	SC	Tumor	Tumor	Tumor
BC04_59	SC	Tumor	Tumor	Tumor
BC04_60	SC	Tumor	Tumor	Tumor
BC04_61	SC	Tumor	Tumor	Tumor
BC04_62	SC	nonTumor	Immune	Tcell
BC04_63	SC	Tumor	Tumor	Tumor
BC04_64	SC	Tumor	Tumor	Tumor
BC04_66	SC	nonTumor	Immune	Tcell
BC04_69	SC	Tumor	Tumor	Tumor
BC04_71	SC	Tumor	Tumor	Tumor
BC04_72	SC	nonTumor	Immune	Myeloid
BC04_77	SC	Tumor	Tumor	Tumor
BC04_78	SC	Tumor	Tumor	Tumor
BC04_82	SC	Tumor	Tumor	Tumor
BC04_85	SC	Tumor	Tumor	Tumor
BC04_86	SC	Tumor	Tumor	Tumor
BC04_88	SC	Tumor	Tumor	Tumor
BC04_89	SC	nonTumor	Immune	Tcell
BC04_90	SC	Tumor	Tumor	Tumor
BC04_91	SC	Tumor	Tumor	Tumor
BC04_92	SC	Tumor	Tumor	Tumor
BC04_93	SC	Tumor	Tumor	Tumor
