sample	patient
SRR2973272	BC01
SRR2973273	BC01
SRR2973274	BC04
SRR2973275	BC03
SRR2973276	BC03LN
SRR2973277	BC07
SRR2973278	BC07LN
SRR2973279	BC01
SRR2973280	BC01
SRR2973281	BC01
SRR2973282	BC01
SRR2973283	BC01
SRR2973284	BC01
SRR2973285	BC01
SRR2973286	BC01
SRR2973287	BC01
SRR2973288	BC01
SRR2973289	BC01
SRR2973290	BC01
SRR2973291	BC01
SRR2973292	BC01
SRR2973293	BC01
SRR2973294	BC01
SRR2973295	BC01
SRR2973296	BC01
SRR2973297	BC01
SRR2973298	BC01
SRR2973299	BC01
SRR2973300	BC04
SRR2973301	BC04
SRR2973302	BC04
SRR2973303	BC04
SRR2973304	BC04
SRR2973305	BC04
SRR2973306	BC04
SRR2973307	BC04
SRR2973308	BC04
SRR2973309	BC04
SRR2973310	BC04
SRR2973311	BC04
SRR2973312	BC04
SRR2973313	BC04
SRR2973314	BC04
SRR2973315	BC04
SRR2973316	BC04
SRR2973317	BC04
SRR2973318	BC04
SRR2973319	BC04
SRR2973320	BC04
SRR2973321	BC04
SRR2973322	BC04
SRR2973323	BC04
SRR2973324	BC04
SRR2973325	BC04
SRR2973326	BC04
SRR2973327	BC04
SRR2973328	BC04
SRR2973329	BC04
SRR2973330	BC04
SRR2973331	BC04
SRR2973332	BC04
SRR2973333	BC04
SRR2973334	BC04
SRR2973335	BC04
SRR2973336	BC04
SRR2973337	BC04
SRR2973338	BC04
SRR2973339	BC04
SRR2973340	BC04
SRR2973341	BC04
SRR2973342	BC04
SRR2973343	BC04
SRR2973344	BC04
SRR2973345	BC04
SRR2973346	BC04
SRR2973347	BC04
SRR2973348	BC04
SRR2973349	BC04
SRR2973350	BC04
SRR2973351	BC03
SRR2973352	BC03
SRR2973353	BC03
SRR2973354	BC03
SRR2973355	BC03
SRR2973356	BC03
SRR2973357	BC03
SRR2973358	BC03
SRR2973359	BC03
SRR2973360	BC03
SRR2973361	BC03
SRR2973362	BC03
SRR2973363	BC03
SRR2973364	BC03
SRR2973365	BC03
SRR2973366	BC03
SRR2973367	BC03
SRR2973368	BC03
SRR2973369	BC03
SRR2973370	BC03
SRR2973371	BC03
SRR2973372	BC03
SRR2973373	BC03
SRR2973374	BC03
SRR2973375	BC03
SRR2973376	BC03
SRR2973377	BC03
SRR2973378	BC03
SRR2973379	BC03
SRR2973380	BC03
SRR2973381	BC03
SRR2973382	BC03
SRR2973383	BC03
SRR2973384	BC03LN
SRR2973385	BC03LN
SRR2973386	BC03LN
SRR2973387	BC03LN
SRR2973388	BC03LN
SRR2973389	BC03LN
SRR2973390	BC03LN
SRR2973391	BC03LN
SRR2973392	BC03LN
SRR2973393	BC03LN
SRR2973394	BC03LN
SRR2973395	BC03LN
SRR2973396	BC03LN
SRR2973397	BC03LN
SRR2973398	BC03LN
SRR2973399	BC03LN
SRR2973400	BC03LN
SRR2973401	BC03LN
SRR2973402	BC03LN
SRR2973403	BC03LN
SRR2973404	BC03LN
SRR2973405	BC03LN
SRR2973406	BC03LN
SRR2973407	BC03LN
SRR2973408	BC03LN
SRR2973409	BC03LN
SRR2973410	BC03LN
SRR2973411	BC03LN
SRR2973412	BC03LN
SRR2973413	BC03LN
SRR2973414	BC03LN
SRR2973415	BC03LN
SRR2973416	BC03LN
SRR2973417	BC03LN
SRR2973418	BC03LN
SRR2973419	BC03LN
SRR2973420	BC03LN
SRR2973421	BC03LN
SRR2973422	BC03LN
SRR2973423	BC03LN
SRR2973424	BC03LN
SRR2973425	BC03LN
SRR2973426	BC03LN
SRR2973427	BC03LN
SRR2973428	BC03LN
SRR2973429	BC03LN
SRR2973430	BC03LN
SRR2973431	BC03LN
SRR2973432	BC03LN
SRR2973433	BC03LN
SRR2973434	BC03LN
SRR2973435	BC03LN
SRR2973436	BC03LN
SRR2973437	BC07
SRR2973438	BC07
SRR2973439	BC07
SRR2973440	BC07
SRR2973441	BC07
SRR2973442	BC07
SRR2973443	BC07
SRR2973444	BC07
SRR2973445	BC07
SRR2973446	BC07
SRR2973447	BC07
SRR2973448	BC07
SRR2973449	BC07
SRR2973450	BC07
SRR2973451	BC07
SRR2973452	BC07
SRR2973453	BC07
SRR2973454	BC07
SRR2973455	BC07
SRR2973456	BC07
SRR2973457	BC07
SRR2973458	BC07
SRR2973459	BC07
SRR2973460	BC07
SRR2973461	BC07
SRR2973462	BC07
SRR2973463	BC07
SRR2973464	BC07
SRR2973465	BC07
SRR2973466	BC07
SRR2973467	BC07
SRR2973468	BC07
SRR2973469	BC07
SRR2973470	BC07
SRR2973471	BC07
SRR2973472	BC07
SRR2973473	BC07
SRR2973474	BC07
SRR2973475	BC07
SRR2973476	BC07
SRR2973477	BC07
SRR2973478	BC07
SRR2973479	BC07
SRR2973480	BC07
SRR2973481	BC07
SRR2973482	BC07
SRR2973483	BC07
SRR2973484	BC07
SRR2973485	BC07LN
SRR2973486	BC07LN
SRR2973487	BC07LN
SRR2973488	BC07LN
SRR2973489	BC07LN
SRR2973490	BC07LN
SRR2973491	BC07LN
SRR2973492	BC07LN
SRR2973493	BC07LN
SRR2973494	BC07LN
SRR2973495	BC07LN
SRR2973496	BC07LN
SRR2973497	BC07LN
SRR2973498	BC07LN
SRR2973499	BC07LN
SRR2973500	BC07LN
SRR2973501	BC07LN
