Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp),Genotype,treatment,stain,AssemblyName,strain,agent,tissue,time_point
SRR5101952,RNA-Seq,76,127302660,PRJNA357261,SAMN06139948,50202262,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418112,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425828,WT Mouse intestinal epithelial cells,SRP095033,GSM2425828,Wild type,None,C57BL/6,,,,,
SRR5101953,RNA-Seq,76,127012112,PRJNA357261,SAMN06139945,47428993,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418113,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425829,WT Mouse intestinal epithelial cells,SRP095033,GSM2425829,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101954,RNA-Seq,76,78642672,PRJNA357261,SAMN06139939,30344451,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418114,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425830,WT Mouse intestinal epithelial cells,SRP095033,GSM2425830,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101955,RNA-Seq,76,11743748,PRJNA357261,SAMN06139943,4773617,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418115,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425831,WT Mouse intestinal epithelial cells,SRP095033,GSM2425831,Wild type,None,C57BL/6,,,,,
SRR5101956,RNA-Seq,76,51718684,PRJNA357261,SAMN06139941,20353933,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418116,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425832,WT Mouse intestinal epithelial cells,SRP095033,GSM2425832,Wild type,None,C57BL/6,,,,,
SRR5101957,RNA-Seq,76,63138064,PRJNA357261,SAMN06139958,23956957,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418117,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425833,WT Mouse intestinal epithelial cells,SRP095033,GSM2425833,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101958,RNA-Seq,76,19533976,PRJNA357261,SAMN06139938,7906209,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418118,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425834,WT Mouse intestinal epithelial cells,SRP095033,GSM2425834,Wild type,None,C57BL/6,,,,,
SRR5101959,RNA-Seq,76,137493804,PRJNA357261,SAMN06139935,52021944,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418119,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425835,WT Mouse intestinal epithelial cells,SRP095033,GSM2425835,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101960,RNA-Seq,76,83629792,PRJNA357261,SAMN06139936,33052979,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418120,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425836,WT Mouse intestinal epithelial cells,SRP095033,GSM2425836,Wild type,None,C57BL/6,,,,,
SRR5101961,RNA-Seq,76,125631040,PRJNA357261,SAMN06139925,47175240,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418121,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425837,WT Mouse intestinal epithelial cells,SRP095033,GSM2425837,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101962,RNA-Seq,76,106204072,PRJNA357261,SAMN06139922,40105118,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418122,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425838,WT Mouse intestinal epithelial cells,SRP095033,GSM2425838,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101963,RNA-Seq,76,66919368,PRJNA357261,SAMN06139933,25179216,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418123,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425839,WT Mouse intestinal epithelial cells,SRP095033,GSM2425839,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101964,RNA-Seq,76,66771016,PRJNA357261,SAMN06139928,25368815,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418124,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425840,WT Mouse intestinal epithelial cells,SRP095033,GSM2425840,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101965,RNA-Seq,76,80862176,PRJNA357261,SAMN06139931,31452965,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418125,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425841,WT Mouse intestinal epithelial cells,SRP095033,GSM2425841,Wild type,None,C57BL/6,,,,,
SRR5101966,RNA-Seq,76,83742576,PRJNA357261,SAMN06139930,32360478,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418126,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425842,WT Mouse intestinal epithelial cells,SRP095033,GSM2425842,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101967,RNA-Seq,76,46843360,PRJNA357261,SAMN06139927,17821732,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418127,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425843,WT Mouse intestinal epithelial cells,SRP095033,GSM2425843,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101968,RNA-Seq,76,73979996,PRJNA357261,SAMN06139923,28921299,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418128,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425844,WT Mouse intestinal epithelial cells,SRP095033,GSM2425844,Wild type,None,C57BL/6,,,,,
SRR5101969,RNA-Seq,76,83317128,PRJNA357261,SAMN06139919,30837376,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418129,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425845,WT Mouse intestinal epithelial cells,SRP095033,GSM2425845,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101970,RNA-Seq,76,84968836,PRJNA357261,SAMN06139920,33237700,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418130,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425846,WT Mouse intestinal epithelial cells,SRP095033,GSM2425846,Wild type,None,C57BL/6,,,,,
