sample	Instrument	seq_type	Bases	Instrument	LibraryLayout	patient
SRR5101952	NextSeq 500	Smart-seq2	127302660	NextSeq 500	PAIRED	Pt0
SRR5101955	NextSeq 500	Smart-seq2	11743748	NextSeq 500	PAIRED	Pt0
SRR5101956	NextSeq 500	Smart-seq2	51718684	NextSeq 500	PAIRED	Pt0
SRR5101958	NextSeq 500	Smart-seq2	19533976	NextSeq 500	PAIRED	Pt0
SRR5101960	NextSeq 500	Smart-seq2	83629792	NextSeq 500	PAIRED	Pt0
SRR5101965	NextSeq 500	Smart-seq2	80862176	NextSeq 500	PAIRED	Pt0
SRR5101968	NextSeq 500	Smart-seq2	73979996	NextSeq 500	PAIRED	Pt0
SRR5101970	NextSeq 500	Smart-seq2	84968836	NextSeq 500	PAIRED	Pt0
SRR5101973	NextSeq 500	Smart-seq2	122099092	NextSeq 500	PAIRED	Pt0
SRR5101979	NextSeq 500	Smart-seq2	114567948	NextSeq 500	PAIRED	Pt0
SRR5101982	NextSeq 500	Smart-seq2	64805656	NextSeq 500	PAIRED	Pt0
SRR5101983	NextSeq 500	Smart-seq2	77016500	NextSeq 500	PAIRED	Pt0
SRR5101991	NextSeq 500	Smart-seq2	53343260	NextSeq 500	PAIRED	Pt0
SRR5101993	NextSeq 500	Smart-seq2	84888580	NextSeq 500	PAIRED	Pt0
SRR5101997	NextSeq 500	Smart-seq2	24598008	NextSeq 500	PAIRED	Pt0
SRR5102000	NextSeq 500	Smart-seq2	93027800	NextSeq 500	PAIRED	Pt0
SRR5102005	NextSeq 500	Smart-seq2	87072212	NextSeq 500	PAIRED	Pt0
SRR5102008	NextSeq 500	Smart-seq2	73035012	NextSeq 500	PAIRED	Pt0
SRR5102009	NextSeq 500	Smart-seq2	84262340	NextSeq 500	PAIRED	Pt0
SRR5102010	NextSeq 500	Smart-seq2	47509652	NextSeq 500	PAIRED	Pt0
SRR5102012	NextSeq 500	Smart-seq2	105701484	NextSeq 500	PAIRED	Pt0
SRR5102013	NextSeq 500	Smart-seq2	65483120	NextSeq 500	PAIRED	Pt0
SRR5102018	NextSeq 500	Smart-seq2	49291168	NextSeq 500	PAIRED	Pt0
SRR5102020	NextSeq 500	Smart-seq2	55074312	NextSeq 500	PAIRED	Pt0
SRR5102021	NextSeq 500	Smart-seq2	19809096	NextSeq 500	PAIRED	Pt0
SRR5102022	NextSeq 500	Smart-seq2	78525404	NextSeq 500	PAIRED	Pt0
SRR5102027	NextSeq 500	Smart-seq2	84328460	NextSeq 500	PAIRED	Pt0
SRR5102036	NextSeq 500	Smart-seq2	27536624	NextSeq 500	PAIRED	Pt0
SRR5102043	NextSeq 500	Smart-seq2	360399524	NextSeq 500	PAIRED	Pt0
SRR5102045	NextSeq 500	Smart-seq2	349013888	NextSeq 500	PAIRED	Pt0
SRR5102047	NextSeq 500	Smart-seq2	86581024	NextSeq 500	PAIRED	Pt0
SRR5102048	NextSeq 500	Smart-seq2	194994796	NextSeq 500	PAIRED	Pt0
SRR5102049	NextSeq 500	Smart-seq2	236891468	NextSeq 500	PAIRED	Pt0
SRR5102050	NextSeq 500	Smart-seq2	258262668	NextSeq 500	PAIRED	Pt0
SRR5102055	NextSeq 500	Smart-seq2	146902604	NextSeq 500	PAIRED	Pt0
SRR5102057	NextSeq 500	Smart-seq2	258417784	NextSeq 500	PAIRED	Pt0
SRR5102060	NextSeq 500	Smart-seq2	222005424	NextSeq 500	PAIRED	Pt0
SRR5102062	NextSeq 500	Smart-seq2	173595856	NextSeq 500	PAIRED	Pt0
SRR5102064	NextSeq 500	Smart-seq2	281481124	NextSeq 500	PAIRED	Pt0
SRR5102065	NextSeq 500	Smart-seq2	183360716	NextSeq 500	PAIRED	Pt0
SRR5102067	NextSeq 500	Smart-seq2	147001176	NextSeq 500	PAIRED	Pt0
SRR5102068	NextSeq 500	Smart-seq2	285532684	NextSeq 500	PAIRED	Pt0
SRR5102070	NextSeq 500	Smart-seq2	215879824	NextSeq 500	PAIRED	Pt0
SRR5102072	NextSeq 500	Smart-seq2	229080492	NextSeq 500	PAIRED	Pt0
SRR5102073	NextSeq 500	Smart-seq2	226262640	NextSeq 500	PAIRED	Pt0
SRR5102075	NextSeq 500	Smart-seq2	176832012	NextSeq 500	PAIRED	Pt0
SRR5102076	NextSeq 500	Smart-seq2	195000724	NextSeq 500	PAIRED	Pt0
SRR5102078	NextSeq 500	Smart-seq2	386487360	NextSeq 500	PAIRED	Pt0
SRR5102081	NextSeq 500	Smart-seq2	232333520	NextSeq 500	PAIRED	Pt0
SRR5102082	NextSeq 500	Smart-seq2	141459028	NextSeq 500	PAIRED	Pt0
SRR5102084	NextSeq 500	Smart-seq2	250856240	NextSeq 500	PAIRED	Pt0
SRR5102086	NextSeq 500	Smart-seq2	184998136	NextSeq 500	PAIRED	Pt0
SRR5102087	NextSeq 500	Smart-seq2	129110472	NextSeq 500	PAIRED	Pt0
SRR5102092	NextSeq 500	Smart-seq2	221462632	NextSeq 500	PAIRED	Pt0
SRR5102094	NextSeq 500	Smart-seq2	81398432	NextSeq 500	PAIRED	Pt0
SRR5102095	NextSeq 500	Smart-seq2	152787588	NextSeq 500	PAIRED	Pt0
SRR5102096	NextSeq 500	Smart-seq2	258015896	NextSeq 500	PAIRED	Pt0
SRR5102099	NextSeq 500	Smart-seq2	263465704	NextSeq 500	PAIRED	Pt0
SRR5102100	NextSeq 500	Smart-seq2	158654180	NextSeq 500	PAIRED	Pt0
SRR5102106	NextSeq 500	Smart-seq2	172091436	NextSeq 500	PAIRED	Pt0
SRR5102107	NextSeq 500	Smart-seq2	250837316	NextSeq 500	PAIRED	Pt0
SRR5102109	NextSeq 500	Smart-seq2	153244120	NextSeq 500	PAIRED	Pt0
SRR5102112	NextSeq 500	Smart-seq2	271795000	NextSeq 500	PAIRED	Pt0
SRR5102114	NextSeq 500	Smart-seq2	180392080	NextSeq 500	PAIRED	Pt0
SRR5102117	NextSeq 500	Smart-seq2	145313824	NextSeq 500	PAIRED	Pt0
SRR5102119	NextSeq 500	Smart-seq2	58474704	NextSeq 500	PAIRED	Pt0
SRR5102121	NextSeq 500	Smart-seq2	5237692	NextSeq 500	PAIRED	Pt0
SRR5102123	NextSeq 500	Smart-seq2	3186984	NextSeq 500	PAIRED	Pt0
SRR5102124	NextSeq 500	Smart-seq2	2850532	NextSeq 500	PAIRED	Pt0
SRR5102125	NextSeq 500	Smart-seq2	2667904	NextSeq 500	PAIRED	Pt0
SRR5102131	NextSeq 500	Smart-seq2	2500020	NextSeq 500	PAIRED	Pt0
SRR5102134	NextSeq 500	Smart-seq2	102520580	NextSeq 500	PAIRED	Pt0
SRR5102135	NextSeq 500	Smart-seq2	116943708	NextSeq 500	PAIRED	Pt0
SRR5102136	NextSeq 500	Smart-seq2	110801768	NextSeq 500	PAIRED	Pt0
SRR5102139	NextSeq 500	Smart-seq2	63347368	NextSeq 500	PAIRED	Pt0
SRR5102140	NextSeq 500	Smart-seq2	47512768	NextSeq 500	PAIRED	Pt0
SRR5102142	NextSeq 500	Smart-seq2	105126316	NextSeq 500	PAIRED	Pt0
SRR5102143	NextSeq 500	Smart-seq2	116539464	NextSeq 500	PAIRED	Pt0
SRR5102144	NextSeq 500	Smart-seq2	107924560	NextSeq 500	PAIRED	Pt0
SRR5102146	NextSeq 500	Smart-seq2	110301916	NextSeq 500	PAIRED	Pt0
SRR5102148	NextSeq 500	Smart-seq2	67270412	NextSeq 500	PAIRED	Pt0
SRR5102150	NextSeq 500	Smart-seq2	191516048	NextSeq 500	PAIRED	Pt0
SRR5102151	NextSeq 500	Smart-seq2	170684144	NextSeq 500	PAIRED	Pt0
SRR5102152	NextSeq 500	Smart-seq2	170320332	NextSeq 500	PAIRED	Pt0
SRR5102155	NextSeq 500	Smart-seq2	294009724	NextSeq 500	PAIRED	Pt0
SRR5102157	NextSeq 500	Smart-seq2	129603560	NextSeq 500	PAIRED	Pt0
