Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chlamydial_species,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Hours_post_infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_batch,source_name,SRA Study
SRR9267098,RNA-Seq,GCA_000001405.28,261,3120120624,PRJNA548292,SAMN12017076,896546954,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX6037339,GSM3872652,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872652,1,Epithelial cells (HEp2),SRP201079
SRR9267099,RNA-Seq,GCA_000001405.28,276,2318547656,PRJNA548292,SAMN12017075,680949620,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6037340,GSM3872653,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872653,1,Epithelial cells (HEp2),SRP201079
SRR9267100,RNA-Seq,GCA_000001405.28,279,500338014,PRJNA548292,SAMN12017074,153758417,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037341,GSM3872654,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872654,1,Epithelial cells (HEp2),SRP201079
SRR9267101,RNA-Seq,GCA_000001405.28,283,108418019,PRJNA548292,SAMN12017382,37870336,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX6037342,GSM3872655,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872655,1,Epithelial cells (HEp2),SRP201079
SRR9267102,RNA-Seq,GCA_000001405.28,280,2875806435,PRJNA548292,SAMN12017381,814368824,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX6037343,GSM3872656,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872656,1,Epithelial cells (HEp2),SRP201079
SRR9267103,RNA-Seq,GCA_000001405.28,286,2070209271,PRJNA548292,SAMN12017380,616363366,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6037344,GSM3872657,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872657,1,Epithelial cells (HEp2),SRP201079
SRR9267104,RNA-Seq,GCA_000001405.28,274,3577653322,PRJNA548292,SAMN12017379,1007004494,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6037345,GSM3872658,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872658,1,Epithelial cells (HEp2),SRP201079
SRR9267105,RNA-Seq,GCA_000001405.28,287,1067988278,PRJNA548292,SAMN12017378,323873468,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6037346,GSM3872659,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872659,1,Epithelial cells (HEp2),SRP201079
SRR9267106,RNA-Seq,GCA_000001405.28,281,2925777806,PRJNA548292,SAMN12017377,827468173,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6037347,GSM3872660,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872660,1,Epithelial cells (HEp2),SRP201079
SRR9267107,RNA-Seq,GCA_000001405.28,286,2298076471,PRJNA548292,SAMN12017376,679946879,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6037348,GSM3872661,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872661,1,Epithelial cells (HEp2),SRP201079
