sample	celltype1	fastq1	fastq2	patient	sorting	sample_num	sample_plate	plate	Tumor	cell
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S11_R1_001_624.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S11_R2_001_624.fastq.gz	Mel04_3	3_CD45pos	11	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S11
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S12_R1_001_625.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S12_R2_001_625.fastq.gz	Mel04_3	3_CD45pos	12	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S12
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S14_R1_001_626.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S14_R2_001_626.fastq.gz	Mel04_3	3_CD45pos	14	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S14
Mel04_3	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S15_R1_001_627.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S15_R2_001_627.fastq.gz	Mel04_3	3_CD45pos	15	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S15
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S16_R1_001_628.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S16_R2_001_628.fastq.gz	Mel04_3	3_CD45pos	16	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S16
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S17_R1_001_629.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S17_R2_001_629.fastq.gz	Mel04_3	3_CD45pos	17	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S17
Mel04_3	NK	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S22_R1_001_630.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S22_R2_001_630.fastq.gz	Mel04_3	3_CD45pos	22	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S22
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S25_R1_001_631.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S25_R2_001_631.fastq.gz	Mel04_3	3_CD45pos	25	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S25
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S27_R1_001_632.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S27_R2_001_632.fastq.gz	Mel04_3	3_CD45pos	27	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S27
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S28_R1_001_633.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S28_R2_001_633.fastq.gz	Mel04_3	3_CD45pos	28	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S28
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S29_R1_001_634.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S29_R2_001_634.fastq.gz	Mel04_3	3_CD45pos	29	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S29
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S3_R1_001_635.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S3_R2_001_635.fastq.gz	Mel04_3	3_CD45pos	3	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S3
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S30_R1_001_636.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S30_R2_001_636.fastq.gz	Mel04_3	3_CD45pos	30	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S30
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S31_R1_001_637.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S31_R2_001_637.fastq.gz	Mel04_3	3_CD45pos	31	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S31
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S32_R1_001_638.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S32_R2_001_638.fastq.gz	Mel04_3	3_CD45pos	32	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S32
Mel04_3	NK	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S34_R1_001_639.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S34_R2_001_639.fastq.gz	Mel04_3	3_CD45pos	34	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S34
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S35_R1_001_640.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S35_R2_001_640.fastq.gz	Mel04_3	3_CD45pos	35	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S35
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S36_R1_001_641.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S36_R2_001_641.fastq.gz	Mel04_3	3_CD45pos	36	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S36
Mel04_3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S37_R1_001_642.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S37_R2_001_642.fastq.gz	Mel04_3	3_CD45pos	37	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S37
Mel04_3	NK	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S39_R1_001_643.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S39_R2_001_643.fastq.gz	Mel04_3	3_CD45pos	39	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S39
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S4_R1_001_644.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S4_R2_001_644.fastq.gz	Mel04_3	3_CD45pos	4	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S4
Mel04_3	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S40_R1_001_645.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S40_R2_001_645.fastq.gz	Mel04_3	3_CD45pos	40	0	3_CD45pos_P0	nonTumor	cy04_3_CD45pos_S40
