entity:sample_id	cellType	fastq1	fastq2	participant
cy04_3_CD45pos_S11	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S11_R1_001_624.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S11_R2_001_624.fastq.gz	Mel04_3
cy04_3_CD45pos_S12	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S12_R1_001_625.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S12_R2_001_625.fastq.gz	Mel04_3
cy04_3_CD45pos_S14	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S14_R1_001_626.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S14_R2_001_626.fastq.gz	Mel04_3
cy04_3_CD45pos_S15	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S15_R1_001_627.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S15_R2_001_627.fastq.gz	Mel04_3
cy04_3_CD45pos_S16	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S16_R1_001_628.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S16_R2_001_628.fastq.gz	Mel04_3
cy04_3_CD45pos_S17	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S17_R1_001_629.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S17_R2_001_629.fastq.gz	Mel04_3
cy04_3_CD45pos_S22	NK	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S22_R1_001_630.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S22_R2_001_630.fastq.gz	Mel04_3
cy04_3_CD45pos_S25	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S25_R1_001_631.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S25_R2_001_631.fastq.gz	Mel04_3
cy04_3_CD45pos_S27	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S27_R1_001_632.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S27_R2_001_632.fastq.gz	Mel04_3
cy04_3_CD45pos_S28	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S28_R1_001_633.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S28_R2_001_633.fastq.gz	Mel04_3
cy04_3_CD45pos_S29	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S29_R1_001_634.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S29_R2_001_634.fastq.gz	Mel04_3
cy04_3_CD45pos_S3	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S3_R1_001_635.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S3_R2_001_635.fastq.gz	Mel04_3
cy04_3_CD45pos_S30	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S30_R1_001_636.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S30_R2_001_636.fastq.gz	Mel04_3
cy04_3_CD45pos_S31	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S31_R1_001_637.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S31_R2_001_637.fastq.gz	Mel04_3
cy04_3_CD45pos_S32	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S32_R1_001_638.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S32_R2_001_638.fastq.gz	Mel04_3
cy04_3_CD45pos_S34	NK	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S34_R1_001_639.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S34_R2_001_639.fastq.gz	Mel04_3
cy04_3_CD45pos_S35	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S35_R1_001_640.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S35_R2_001_640.fastq.gz	Mel04_3
cy04_3_CD45pos_S36	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S36_R1_001_641.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S36_R2_001_641.fastq.gz	Mel04_3
cy04_3_CD45pos_S37	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S37_R1_001_642.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S37_R2_001_642.fastq.gz	Mel04_3
cy04_3_CD45pos_S39	NK	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S39_R1_001_643.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S39_R2_001_643.fastq.gz	Mel04_3
cy04_3_CD45pos_S4	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S4_R1_001_644.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S4_R2_001_644.fastq.gz	Mel04_3
cy04_3_CD45pos_S40	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S40_R1_001_645.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S40_R2_001_645.fastq.gz	Mel04_3
cy04_3_CD45pos_S41	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S41_R1_001_646.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S41_R2_001_646.fastq.gz	Mel04_3
cy04_3_CD45pos_S42	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S42_R1_001_647.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S42_R2_001_647.fastq.gz	Mel04_3
cy04_3_CD45pos_S43	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S43_R1_001_648.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S43_R2_001_648.fastq.gz	Mel04_3
cy04_3_CD45pos_S44	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S44_R1_001_649.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S44_R2_001_649.fastq.gz	Mel04_3
cy04_3_CD45pos_S46	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S46_R1_001_650.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S46_R2_001_650.fastq.gz	Mel04_3
cy04_3_CD45pos_S47	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S47_R1_001_651.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S47_R2_001_651.fastq.gz	Mel04_3
cy04_3_CD45pos_S48	Macrophage	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S48_R1_001_652.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S48_R2_001_652.fastq.gz	Mel04_3
cy04_3_CD45pos_S5	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S5_R1_001_653.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S5_R2_001_653.fastq.gz	Mel04_3
cy04_3_CD45pos_S52	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S52_R1_001_654.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S52_R2_001_654.fastq.gz	Mel04_3
cy04_3_CD45pos_S53	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S53_R1_001_655.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S53_R2_001_655.fastq.gz	Mel04_3
cy04_3_CD45pos_S55	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S55_R1_001_656.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy04_3_CD45pos_S55_R2_001_656.fastq.gz	Mel04_3
