cell	celltype1	GSM	Run	sample	depletion_batch	patient	Tumor	QC_status	plate	well
PT039_P1_B03	Macrophage	GSM3326545	SRR7666719	B1	depleted_no	PT039	nonTumor	Passed	P1	B03
PT089_P1_A01	Tumor	GSM3326172	SRR7666346	B5	depleted_yes	PT089	Tumor	Passed	P1	A01
PT089_P1_A02	Tumor	GSM3326173	SRR7666347	B5	depleted_yes	PT089	Tumor	Passed	P1	A02
PT089_P1_A03	Tumor	GSM3326174	SRR7666348	B5	depleted_yes	PT089	Tumor	Passed	P1	A03
PT089_P1_A04	Macrophage	GSM3326175	SRR7666349	B5	depleted_yes	PT089	nonTumor	Passed	P1	A04
PT089_P1_A05	Macrophage	GSM3326176	SRR7666350	B5	depleted_yes	PT089	nonTumor	Passed	P1	A05
PT089_P1_A06	Tumor	GSM3326177	SRR7666351	B5	depleted_yes	PT089	Tumor	Passed	P1	A06
PT089_P1_A07	Tumor	GSM3326178	SRR7666352	B5	depleted_yes	PT089	Tumor	Passed	P1	A07
PT089_P1_A08	Macrophage	GSM3326179	SRR7666353	B5	depleted_yes	PT089	nonTumor	Passed	P1	A08
PT089_P1_A09	Tumor	GSM3326180	SRR7666354	B5	depleted_yes	PT089	Tumor	Passed	P1	A09
PT089_P1_A10	Tumor	GSM3326181	SRR7666355	B5	depleted_yes	PT089	Tumor	Passed	P1	A10
PT089_P1_A12	Tumor	GSM3326183	SRR7666357	B5	depleted_yes	PT089	Tumor	Passed	P1	A12
PT089_P1_B01	Tumor	GSM3326184	SRR7666358	B5	depleted_yes	PT089	Tumor	Passed	P1	B01
PT089_P1_B02	Stroma	GSM3326185	SRR7666359	B5	depleted_yes	PT089	nonTumor	Passed	P1	B02
PT089_P1_B03	Macrophage	GSM3326186	SRR7666360	B5	depleted_yes	PT089	nonTumor	Passed	P1	B03
PT089_P1_B04	Tumor	GSM3326187	SRR7666361	B5	depleted_yes	PT089	Tumor	Passed	P1	B04
PT089_P1_B06	Stroma	GSM3326189	SRR7666363	B5	depleted_yes	PT089	nonTumor	Passed	P1	B06
PT089_P1_B07	Tumor	GSM3326190	SRR7666364	B5	depleted_yes	PT089	Tumor	Passed	P1	B07
PT089_P1_B08	Tumor	GSM3326191	SRR7666365	B5	depleted_yes	PT089	Tumor	Passed	P1	B08
PT089_P1_B09	Macrophage	GSM3326192	SRR7666366	B5	depleted_yes	PT089	nonTumor	Passed	P1	B09
PT089_P1_B11	Tumor	GSM3326193	SRR7666367	B5	depleted_yes	PT089	Tumor	Passed	P1	B11
PT089_P1_B12	Tumor	GSM3326194	SRR7666368	B5	depleted_yes	PT089	Tumor	Passed	P1	B12
PT089_P1_C01	Stroma	GSM3326195	SRR7666369	B5	depleted_yes	PT089	nonTumor	Passed	P1	C01
PT089_P1_C02	Macrophage	GSM3326196	SRR7666370	B5	depleted_yes	PT089	nonTumor	Passed	P1	C02
PT089_P1_C03	Tumor	GSM3326197	SRR7666371	B5	depleted_yes	PT089	Tumor	Passed	P1	C03
PT089_P1_C04	Stroma	GSM3326198	SRR7666372	B5	depleted_yes	PT089	nonTumor	Passed	P1	C04
PT089_P1_C05	Macrophage	GSM3326199	SRR7666373	B5	depleted_yes	PT089	nonTumor	Passed	P1	C05
PT089_P1_C06	Macrophage	GSM3326200	SRR7666374	B5	depleted_yes	PT089	nonTumor	Passed	P1	C06
PT089_P1_C07	Macrophage	GSM3326201	SRR7666375	B5	depleted_yes	PT089	nonTumor	Passed	P1	C07
PT089_P1_C08	Macrophage	GSM3326202	SRR7666376	B5	depleted_yes	PT089	nonTumor	Passed	P1	C08
PT089_P1_C09	Macrophage	GSM3326203	SRR7666377	B5	depleted_yes	PT089	nonTumor	Passed	P1	C09
PT089_P1_C10	Tumor	GSM3326204	SRR7666378	B5	depleted_yes	PT089	Tumor	Passed	P1	C10
PT089_P1_C11	Macrophage	GSM3326205	SRR7666379	B5	depleted_yes	PT089	nonTumor	Passed	P1	C11
PT089_P1_C12	Tumor	GSM3326206	SRR7666380	B5	depleted_yes	PT089	Tumor	Passed	P1	C12
PT089_P1_D01	Macrophage	GSM3326207	SRR7666381	B5	depleted_yes	PT089	nonTumor	Passed	P1	D01
PT089_P1_D02	Tumor	GSM3326208	SRR7666382	B5	depleted_yes	PT089	Tumor	Passed	P1	D02
PT089_P1_D03	Tumor	GSM3326209	SRR7666383	B5	depleted_yes	PT089	Tumor	Passed	P1	D03
PT089_P1_D04	Macrophage	GSM3326210	SRR7666384	B5	depleted_yes	PT089	nonTumor	Passed	P1	D04
PT089_P1_D05	Macrophage	GSM3326211	SRR7666385	B5	depleted_yes	PT089	nonTumor	Passed	P1	D05
PT089_P1_D06	Macrophage	GSM3326212	SRR7666386	B5	depleted_yes	PT089	nonTumor	Passed	P1	D06
PT089_P1_D07	Macrophage	GSM3326213	SRR7666387	B5	depleted_yes	PT089	nonTumor	Passed	P1	D07
PT089_P1_D08	Macrophage	GSM3326214	SRR7666388	B5	depleted_yes	PT089	nonTumor	Passed	P1	D08
PT089_P1_D09	Tumor	GSM3326215	SRR7666389	B5	depleted_yes	PT089	Tumor	Passed	P1	D09
PT089_P3_A03_S291	Tumor	GSM3326216	SRR7666390	B3	depleted_yes	PT089	Tumor	Passed	P3	A03
PT089_P3_A05_S293	Tumor	GSM3326217	SRR7666391	B3	depleted_yes	PT089	Tumor	Passed	P3	A05
PT089_P3_A06_S294	Tumor	GSM3326218	SRR7666392	B3	depleted_yes	PT089	Tumor	Passed	P3	A06
PT089_P3_A08_S296	Tumor	GSM3326219	SRR7666393	B3	depleted_yes	PT089	Tumor	Passed	P3	A08
PT089_P3_B01_S301	Tumor	GSM3326220	SRR7666394	B3	depleted_yes	PT089	Tumor	Passed	P3	B01
PT089_P3_B02_S302	Tumor	GSM3326221	SRR7666395	B3	depleted_yes	PT089	Tumor	Passed	P3	B02
PT089_P3_B05_S305	Tumor	GSM3326222	SRR7666396	B3	depleted_yes	PT089	Tumor	Passed	P3	B05
PT089_P3_B06_S306	Tumor	GSM3326223	SRR7666397	B3	depleted_yes	PT089	Tumor	Passed	P3	B06
PT089_P3_B08_S308	Tumor	GSM3326224	SRR7666398	B3	depleted_yes	PT089	Tumor	Passed	P3	B08
PT089_P3_B09_S309	Tumor	GSM3326225	SRR7666399	B3	depleted_yes	PT089	Tumor	Passed	P3	B09
PT089_P3_B10_S310	Tumor	GSM3326226	SRR7666400	B3	depleted_yes	PT089	Tumor	Passed	P3	B10
PT089_P3_B12_S312	Tumor	GSM3326227	SRR7666401	B3	depleted_yes	PT089	Tumor	Passed	P3	B12
PT089_P3_C02_S314	Tumor	GSM3326228	SRR7666402	B3	depleted_yes	PT089	Tumor	Passed	P3	C02
PT089_P3_C03_S315	Tumor	GSM3326229	SRR7666403	B3	depleted_yes	PT089	Tumor	Passed	P3	C03
PT089_P3_C04_S316	Tumor	GSM3326230	SRR7666404	B3	depleted_yes	PT089	Tumor	Passed	P3	C04
PT089_P3_C05_S317	Tumor	GSM3326231	SRR7666405	B3	depleted_yes	PT089	Tumor	Passed	P3	C05
PT089_P3_C10_S322	Tumor	GSM3326232	SRR7666406	B3	depleted_yes	PT089	Tumor	Passed	P3	C10
PT089_P3_D01_S325	Tumor	GSM3326233	SRR7666407	B3	depleted_yes	PT089	Tumor	Passed	P3	D01
PT089_P3_D02_S326	Tumor	GSM3326234	SRR7666408	B3	depleted_yes	PT089	Tumor	Passed	P3	D02
PT089_P3_D03_S327	Tumor	GSM3326235	SRR7666409	B3	depleted_yes	PT089	Tumor	Passed	P3	D03
PT089_P3_D04_S328	Tumor	GSM3326236	SRR7666410	B3	depleted_yes	PT089	Tumor	Passed	P3	D04
PT089_P3_D05_S329	Tumor	GSM3326237	SRR7666411	B3	depleted_yes	PT089	Tumor	Passed	P3	D05
PT089_P3_D08_S332	Tumor	GSM3326238	SRR7666412	B3	depleted_yes	PT089	Tumor	Passed	P3	D08
PT089_P3_D09_S333	Tumor	GSM3326239	SRR7666413	B3	depleted_yes	PT089	Tumor	Passed	P3	D09
PT089_P3_D10_S334	Tumor	GSM3326240	SRR7666414	B3	depleted_yes	PT089	Tumor	Passed	P3	D10
PT089_P3_D12_S336	Tumor	GSM3326241	SRR7666415	B3	depleted_yes	PT089	Tumor	Passed	P3	D12
PT089_P3_E01_S337	Tumor	GSM3326242	SRR7666416	B3	depleted_yes	PT089	Tumor	Passed	P3	E01
PT089_P3_E02_S338	Tumor	GSM3326243	SRR7666417	B3	depleted_yes	PT089	Tumor	Passed	P3	E02
PT089_P3_E04_S340	Tumor	GSM3326244	SRR7666418	B3	depleted_yes	PT089	Tumor	Passed	P3	E04
