patient	sample	sample_site	lane	cell_barcode_fastq_path	cDNA_fastq_path
SMC01	SMC01-T	Tumor	S2_L001	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0001T-A1_S2_L001_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0001T-A1_S2_L001_R2_001.fastq.gz
SMC01	SMC01-T	Tumor	S2_L002	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0001T-A1_S2_L002_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0001T-A1_S2_L002_R2_001.fastq.gz
SMC02	SMC02-T	Tumor	S4_L001	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0002T-A1_S4_L001_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0002T-A1_S4_L001_R2_001.fastq.gz
SMC02	SMC02-T	Tumor	S4_L002	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0002T-A1_S4_L002_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0002T-A1_S4_L002_R2_001.fastq.gz
SMC03	SMC03-T	Tumor	S6_L003	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0003T-A1_S6_L003_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0003T-A1_S6_L003_R2_001.fastq.gz
SMC03	SMC03-T	Tumor	S6_L004	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0003T-A1_S6_L004_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0003T-A1_S6_L004_R2_001.fastq.gz
SMC04	SMC04-T	Tumor	S8_L003	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0004T-A1_S8_L003_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0004T-A1_S8_L003_R2_001.fastq.gz
SMC04	SMC04-T	Tumor	S8_L004	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0004T-A1_S8_L004_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0004T-A1_S8_L004_R2_001.fastq.gz
SMC05	SMC05-T	Tumor	S10_L003	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0005T-A1_S10_L003_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0005T-A1_S10_L003_R2_001.fastq.gz
SMC05	SMC05-T	Tumor	S10_L004	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0005T-A1_S10_L004_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0005T-A1_S10_L004_R2_001.fastq.gz
SMC06	SMC06-T	Tumor	S12_L005	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0006T-A1_S12_L005_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0006T-A1_S12_L005_R2_001.fastq.gz
SMC06	SMC06-T	Tumor	S12_L006	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0006T-A1_S12_L006_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0006T-A1_S12_L006_R2_001.fastq.gz
SMC07	SMC07-T	Tumor	S14_L005	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0007T-A1_S14_L005_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0007T-A1_S14_L005_R2_001.fastq.gz
SMC07	SMC07-T	Tumor	S14_L006	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0007T-A1_S14_L006_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0007T-A1_S14_L006_R2_001.fastq.gz
SMC08	SMC08-T	Tumor	S16_L007	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0008T-A1_S16_L007_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0008T-A1_S16_L007_R2_001.fastq.gz
SMC08	SMC08-T	Tumor	S16_L008	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0008T-A1_S16_L008_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0008T-A1_S16_L008_R2_001.fastq.gz
SMC09	SMC09-T	Tumor	S18_L007	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0009T-A1_S18_L007_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0009T-A1_S18_L007_R2_001.fastq.gz
SMC09	SMC09-T	Tumor	S18_L008	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0009T-A1_S18_L008_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0009T-A1_S18_L008_R2_001.fastq.gz
SMC10	SMC10-T	Tumor	S20_L007	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0010T-A1_S20_L007_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0010T-A1_S20_L007_R2_001.fastq.gz
SMC10	SMC10-T	Tumor	S20_L008	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0010T-A1_S20_L008_R1_001.fastq.gz	/data/Robinson-SB/Lee2020-fastq-dir/PM-PS-0010T-A1_S20_L008_R2_001.fastq.gz
