patient	sample	cell	Tumor	plate	well	Run
TH238	LT_S66	K13_B002079	nonTumor	B002079	K13	SRR10798482
TH238	LT_S66	K14_B000420	Tumor	B000420	K14	SRR10798521
TH238	LT_S66	K14_B002077	nonTumor	B002077	K14	SRR10798540
TH238	LT_S66	O5_B000420	nonTumor	B000420	O5	SRR10798579
TH238	LT_S66	O5_B000422	nonTumor	B000422	O5	SRR10798580
TH238	LT_S66	H16_B002077	nonTumor	B002077	H16	SRR10785097
TH238	LT_S66	H16_B002078	Tumor	B002078	H16	SRR10785098
TH238	LT_S66	H16_B002079	Tumor	B002079	H16	SRR10785099
TH238	LT_S66	H19_B002077	nonTumor	B002077	H19	SRR10785145
TH238	LT_S66	H19_B002078	nonTumor	B002078	H19	SRR10785146
TH238	LT_S66	H19_B002079	nonTumor	B002079	H19	SRR10785147
TH238	LT_S66	H2_B000420	nonTumor	B000420	H2	SRR10785196
TH238	LT_S66	H2_B000422	nonTumor	B000422	H2	SRR10785197
TH238	LT_S66	H2_B002077	nonTumor	B002077	H2	SRR10785212
TH238	LT_S66	H2_B002078	nonTumor	B002078	H2	SRR10785213
TH238	LT_S66	H2_B002079	nonTumor	B002079	H2	SRR10785214
TH238	LT_S66	H20_B000420	nonTumor	B000420	H20	SRR10785247
TH238	LT_S66	H20_B000422	nonTumor	B000422	H20	SRR10785248
TH238	LT_S66	H20_B002078	nonTumor	B002078	H20	SRR10785270
TH238	LT_S66	H20_B002079	Tumor	B002079	H20	SRR10785271
TH238	LT_S66	H21_B000420	nonTumor	B000420	H21	SRR10785320
TH238	LT_S66	H21_B002077	nonTumor	B002077	H21	SRR10785343
TH238	LT_S66	H21_B002078	nonTumor	B002078	H21	SRR10785344
TH238	LT_S66	H22_B000422	nonTumor	B000422	H22	SRR10785387
TH238	LT_S66	H22_B002078	Tumor	B002078	H22	SRR10785408
TH238	LT_S66	H22_B002079	nonTumor	B002079	H22	SRR10785409
TH238	LT_S66	H3_B000420	nonTumor	B000420	H3	SRR10785455
TH238	LT_S66	H3_B000422	nonTumor	B000422	H3	SRR10785456
TH238	LT_S66	H3_B002077	nonTumor	B002077	H3	SRR10785476
TH238	LT_S66	H3_B002079	nonTumor	B002079	H3	SRR10785477
TH238	LT_S66	H4_B000422	nonTumor	B000422	H4	SRR10785520
TH238	LT_S66	H4_B002077	nonTumor	B002077	H4	SRR10785537
TH238	LT_S66	H4_B002078	nonTumor	B002078	H4	SRR10785538
TH238	LT_S66	H4_B002079	nonTumor	B002079	H4	SRR10785539
TH238	LT_S66	H6_B002077	nonTumor	B002077	H6	SRR10785572
TH238	LT_S66	H6_B002078	nonTumor	B002078	H6	SRR10785573
TH238	LT_S66	H6_B002079	nonTumor	B002079	H6	SRR10785574
TH238	LT_S66	H7_B000420	nonTumor	B000420	H7	SRR10785617
TH238	LT_S66	H7_B000422	nonTumor	B000422	H7	SRR10785618
TH238	LT_S66	H7_B002077	nonTumor	B002077	H7	SRR10785632
TH238	LT_S66	H7_B002078	nonTumor	B002078	H7	SRR10785633
TH238	LT_S66	H8_B000422	nonTumor	B000422	H8	SRR10785679
TH238	LT_S66	H8_B002077	nonTumor	B002077	H8	SRR10785699
TH238	LT_S66	H9_B000420	nonTumor	B000420	H9	SRR10785742
TH238	LT_S66	H9_B000422	nonTumor	B000422	H9	SRR10785743
TH238	LT_S66	I10_B000420	nonTumor	B000420	I10	SRR10785762
TH238	LT_S66	I10_B002077	nonTumor	B002077	I10	SRR10785781
TH238	LT_S66	I10_B002078	nonTumor	B002078	I10	SRR10785782
TH238	LT_S66	I10_B002079	nonTumor	B002079	I10	SRR10785783
TH238	LT_S66	I11_B000420	Tumor	B000420	I11	SRR10785822
TH238	LT_S66	I11_B002077	nonTumor	B002077	I11	SRR10785836
TH238	LT_S66	I11_B002078	nonTumor	B002078	I11	SRR10785837
TH238	LT_S66	I11_B002079	nonTumor	B002079	I11	SRR10785838
TH238	LT_S66	I12_B000420	nonTumor	B000420	I12	SRR10785872
TH238	LT_S66	I12_B000422	Tumor	B000422	I12	SRR10785873
TH238	LT_S66	I12_B002077	nonTumor	B002077	I12	SRR10785891
TH238	LT_S66	I12_B002078	nonTumor	B002078	I12	SRR10785892
TH238	LT_S66	I13_B000420	Tumor	B000420	I13	SRR10785931
TH238	LT_S66	I13_B000422	nonTumor	B000422	I13	SRR10785932
TH238	LT_S66	I13_B002077	nonTumor	B002077	I13	SRR10785950
TH238	LT_S66	I13_B002079	nonTumor	B002079	I13	SRR10785951
TH238	LT_S66	I14_B000420	nonTumor	B000420	I14	SRR10785997
TH238	LT_S66	I14_B000422	Tumor	B000422	I14	SRR10785998
TH238	LT_S66	I14_B002077	nonTumor	B002077	I14	SRR10786019
TH238	LT_S66	I14_B002078	nonTumor	B002078	I14	SRR10786020
TH238	LT_S66	I14_B002079	nonTumor	B002079	I14	SRR10786021
TH238	LT_S66	I15_B000420	Tumor	B000420	I15	SRR10786065
TH238	LT_S66	I15_B000422	nonTumor	B000422	I15	SRR10786066
TH238	LT_S66	I15_B002078	nonTumor	B002078	I15	SRR10786087
TH238	LT_S66	I15_B002079	Tumor	B002079	I15	SRR10786088
TH238	LT_S66	I17_B000422	nonTumor	B000422	I17	SRR10786106
TH238	LT_S66	I17_B002077	nonTumor	B002077	I17	SRR10786128
TH238	LT_S66	I17_B002078	Tumor	B002078	I17	SRR10786129
TH238	LT_S66	I17_B002079	nonTumor	B002079	I17	SRR10786130
TH238	LT_S66	I18_B000420	nonTumor	B000420	I18	SRR10786174
TH238	LT_S66	I18_B002077	nonTumor	B002077	I18	SRR10786190
TH238	LT_S66	I18_B002078	Tumor	B002078	I18	SRR10786191
TH238	LT_S66	I18_B002079	nonTumor	B002079	I18	SRR10786192
TH238	LT_S66	I19_B000420	nonTumor	B000420	I19	SRR10786238
