sample	Mitf	Axl	Erbb3	patient
A01	0	141.07	0	mouse1
A02	0	123.96	0	mouse1
A03	126.66	0	14.76	mouse1
A04	0	0	0	mouse1
A05	0	22.04	0	mouse1
A06	0	215.61	25.08	mouse1
A07	0	101.43	0	mouse1
A08	0	16.44	0	mouse1
A09	0	135.47	70.85	mouse1
A10	28.84	73.72	0	mouse1
A11	0	0	109.76	mouse1
A12	0	455.43	0	mouse1
B01	0	56.45	74.19	mouse1
B02	0	41.25	0	mouse1
B03	0	65.44	0.08	mouse1
B04	0.33	190.47	0	mouse1
B05	0	39.86	0	mouse1
B06	0	191.66	0	mouse1
B07	0	0	0	mouse1
B08	0	118.59	0	mouse1
B09	23.13	0	76.81	mouse1
B10	0	161.6	0.87	mouse1
B11	0	41.5	0	mouse1
B12	0.22	69.61	0	mouse1
C01	0	250.14	0	mouse1
C02	0	250.17	0	mouse1
C03	0	60.21	0	mouse1
C04	0	86.97	0.04	mouse1
C05	0	47.52	0	mouse1
C06	0	0	0	mouse1
C07	4.87	254.14	0	mouse1
C08	0	108.62	0	mouse1
C09	51.41	0	19.93	mouse1
C10	72.27	0	21.74	mouse1
C11	0	175.05	0	mouse1
C12	0	38.2	0	mouse1
D01	24.41	0	0	mouse1
D02	0	77.83	0	mouse1
D03	0	243.62	0	mouse1
D04	0	65.88	58.58	mouse1
D05	0	170.01	0	mouse1
D06	0	98.43	0	mouse1
D07	0	0	0	mouse1
D08	32.17	164.16	56.82	mouse1
D09	0	155.79	83.4	mouse1
D10	0	94.61	0	mouse1
D11	6.37	41.07	0	mouse1
D12	0	23.88	12.41	mouse1
E01	21.58	0	0	mouse1
E02	0	162.77	0	mouse1
E03	0	66.7	0	mouse1
E04	0	76.61	131.07	mouse1
E05	69.49	516.72	0	mouse1
E06	23.29	0	3.62	mouse1
E07	0	62.81	81.77	mouse1
E08	41.74	96.58	0	mouse1
E09	72.09	0	41.97	mouse1
E10	1.03	15.59	0	mouse1
E11	0	60.18	0	mouse1
E12	5.05	161.97	100.29	mouse1
F01	6.05	182.67	74.73	mouse1
F02	0.5	251.22	0	mouse1
F03	51.93	0	26.45	mouse1
F04	22.35	134.98	36.48	mouse1
F05	0	181.53	35.66	mouse1
F06	0	110.16	0	mouse1
F07	0	20.82	0	mouse1
F08	7.1	100.26	0	mouse1
F09	0	0	0	mouse1
F10	27.25	15.23	61.7	mouse1
F11	1.91	66.06	0	mouse1
F12	0	106.9	0	mouse1
G01	0	38.64	0	mouse1
G02	0	257.19	4.71	mouse1
G03	0	223.41	0	mouse1
G04	6.85	116.54	0	mouse1
G05	46.14	0	10.4	mouse1
G06	0	305.96	0	mouse1
G07	1.34	98.66	0	mouse1
G08	17.02	20.98	0	mouse1
G09	59.31	0	3.21	mouse1
G10	26.25	0	34.91	mouse1
G11	5.55	0	10.96	mouse1
G12	0	50.77	0	mouse1
H01	613.47	0	0	mouse1
H02	0	152.57	0	mouse1
H03	0	75.94	0	mouse1
H04	0	195.21	0	mouse1
H05	25.92	176.24	9.24	mouse1
H06	0	36.57	0	mouse1
H07	0	62.84	0	mouse1
H08	0	94.05	0	mouse1
H09	0	113.79	0	mouse1
H10	0	49.24	0	mouse1
H11	0	108.46	0	mouse1
H12	0	82.47	0	mouse1
