patient	sample	Is_Tumor	Run	lane	ProcessingMethod	10x chemistry (verType)
C104	C104_T_1_1_0_c1_v2	Yes	SRR15652831	C104_T_1_1_0_c1_v2_HFTG5ALXX L007	unsorted	v2
C104	C104_T_1_1_0_c1_v2	Yes	SRR15652832	C104_T_1_1_0_c1_v2_HG3C3CCXY L001	unsorted	v2
C104	C104_T_1_1_3_c1_v2	Yes	SRR15652833	C104_T_1_1_3_c1_v2_HFTG5ALXX L007	LiveMACS	v2
C105	C105_T_1_1_0_c1_v2	Yes	SRR15652834	C105_T_1_1_0_c1_v2_HG23HALXX L005	unsorted	v2
C105	C105_T_1_1_0_c1_v2	Yes	SRR15652835	C105_T_1_1_0_c1_v2_HG23HALXX L006	unsorted	v2
C105	C105_T_1_1_0_c1_v2	Yes	SRR15652836	C105_T_1_1_0_c1_v2_HG3C3CCXY L001	unsorted	v2
C105	C105_T_1_1_3_c1_v2	Yes	SRR15652837	C105_T_1_1_3_c1_v2_HG23HALXX L005	LiveMACS	v2
C105	C105_T_1_1_3_c1_v2	Yes	SRR15652838	C105_T_1_1_3_c1_v2_HG23HALXX L006	LiveMACS	v2
C106	C106_N_1_1_0_c1_v2	No	SRR15652839	C106_N_1_1_0_c1_v2_HG23HALXX L005	unsorted	v2
C106	C106_N_1_1_0_c1_v2	No	SRR15652840	C106_N_1_1_0_c1_v2_HG23HALXX L006	unsorted	v2
C106	C106_N_1_1_0_c1_v2	No	SRR15652841	C106_N_1_1_0_c1_v2_HG3C3CCXY L003	unsorted	v2
C106	C106_N_1_1_3_c1_v2	No	SRR15652842	C106_N_1_1_3_c1_v2_HG23HALXX L005	LiveMACS	v2
C106	C106_N_1_1_3_c1_v2	No	SRR15652843	C106_N_1_1_3_c1_v2_HG23HALXX L006	LiveMACS	v2
C106	C106_T_1_1_0_c1_v2	Yes	SRR15652844	C106_T_1_1_0_c1_v2_HG23HALXX L005	unsorted	v2
C106	C106_T_1_1_0_c1_v2	Yes	SRR15652845	C106_T_1_1_0_c1_v2_HG23HALXX L006	unsorted	v2
C106	C106_T_1_1_3_c1_v2	Yes	SRR15652846	C106_T_1_1_3_c1_v2_HG23HALXX L005	LiveMACS	v2
C106	C106_T_1_1_3_c1_v2	Yes	SRR15652847	C106_T_1_1_3_c1_v2_HG23HALXX L006	LiveMACS	v2
C107	C107_N_1_1_0_c1_v2	No	SRR15652848	C107_N_1_1_0_c1_v2_HCLW3ALXX L008	unsorted	v2
C107	C107_N_1_1_0_c1_v2	No	SRR15652849	C107_N_1_1_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C107	C107_T_1_1_0_c1_v2	Yes	SRR15652850	C107_T_1_1_0_c1_v2_HCLW3ALXX L008	unsorted	v2
C107	C107_T_1_1_0_c1_v2	Yes	SRR15652851	C107_T_1_1_0_c1_v2_HG2HCCCXY L005_R1	unsorted	v2
C107	C107_T_1_1_1_c1_v2	Yes	SRR15652852	C107_T_1_1_1_c1_v2_HCLW3ALXX L008	CD45pMACS	v2
C107	C107_T_1_1_1_c1_v2	Yes	SRR15652853	C107_T_1_1_1_c1_v2_HG3C3CCXY L002	CD45pMACS	v2
C107	C107_T_1_1_3_c1_v2	Yes	SRR15652854	C107_T_1_1_3_c1_v2_HCLW3ALXX L008	LiveMACS	v2
C109	C109_N_0_1_0_c1_v2	No	SRR15652855	C109_N_0_1_0_c1_v2_HCJWHALXX L007	unsorted	v2
C109	C109_N_0_1_0_c1_v2	No	SRR15652856	C109_N_0_1_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C109	C109_T_0_1_0_c1_v2	Yes	SRR15652857	C109_T_0_1_0_c1_v2_HCJWHALXX L007	unsorted	v2
C109	C109_T_0_1_0_c1_v2	Yes	SRR15652858	C109_T_0_1_0_c1_v2_HG2HCCCXY L001_R1	unsorted	v2
C109	C109_T_0_1_1_c1_v2	Yes	SRR15652859	C109_T_0_1_1_c1_v2_HCJWHALXX L007	CD45pMACS	v2
C110	C110_N_1_1_0_c1_v2	No	SRR15652860	C110_N_1_1_0_c1_v2_HFLLFALXX L003	unsorted	v2
C110	C110_T_1_1_0_c1_v2	Yes	SRR15652861	C110_T_1_1_0_c1_v2_HFLLFALXX L003	unsorted	v2
C110	C110_T_1_1_1_c1_v2	Yes	SRR15652862	C110_T_1_1_1_c1_v2_HFLLFALXX L003	CD45pMACS	v2
C111	C111_N_0_2_0_c1_v2	No	SRR15652863	C111_N_0_2_0_c1_v2_HFLLFALXX L004	unsorted	v2
C111	C111_N_0_2_0_c1_v2	No	SRR15652864	C111_N_0_2_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C111	C111_N_0_2_1_c1_v2	No	SRR15652865	C111_N_0_2_1_c1_v2_HFLLFALXX L004	CD45pMACS	v2
C111	C111_N_0_2_1_c1_v2	No	SRR15652866	C111_N_0_2_1_c1_v2_HG3C3CCXY L004	CD45pMACS	v2
C111	C111_T_0_2_0_c1_v2	Yes	SRR15652867	C111_T_0_2_0_c1_v2_HFLLFALXX L004	unsorted	v2
C111	C111_T_0_2_0_c1_v2	Yes	SRR15652868	C111_T_0_2_0_c1_v2_HG2HCCCXY L006_R1	unsorted	v2
C111	C111_T_0_2_0_c2_v2	Yes	SRR15652869	C111_T_0_2_0_c2_v2_HKL27ALXX L004	unsorted	v2
C111	C111_T_0_2_1_c1_v2	Yes	SRR15652870	C111_T_0_2_1_c1_v2_HFLLFALXX L004	CD45pMACS	v2
C112	C112_N_0_1_2_c1_v2	No	SRR15652871	C112_N_0_1_2_c1_v2_HFLLFALXX L005	mixUnsortCD45MACS	v2
C112	C112_N_0_1_2_c1_v2	No	SRR15652872	C112_N_0_1_2_c1_v2_HG2HCCCXY L008_R1	mixUnsortCD45MACS	v2
C112	C112_N_0_1_2_c1_v2	No	SRR15652873	C112_N_0_1_2_c1_v2_HG3TKCCXY L008_R1	mixUnsortCD45MACS	v2
C112	C112_T_0_1_0_c1_v2	Yes	SRR15652874	C112_T_0_1_0_c1_v2_HFLLFALXX L005	unsorted	v2
C112	C112_T_0_1_0_c1_v2	Yes	SRR15652875	C112_T_0_1_0_c1_v2_HG2HCCCXY L001_R1	unsorted	v2
C112	C112_T_0_1_1_c1_v2	Yes	SRR15652876	C112_T_0_1_1_c1_v2_HFLLFALXX L005	CD45pMACS	v2
C113	C113_N_1_1_0_c1_v2	No	SRR15652877	C113_N_1_1_0_c1_v2_HKL27ALXX L001	unsorted	v2
C113	C113_T_1_1_0_c1_v2	Yes	SRR15652878	C113_T_1_1_0_c1_v2_HG2HCCCXY L001_R1	unsorted	v2
C113	C113_T_1_1_0_c1_v2	Yes	SRR15652879	C113_T_1_1_0_c1_v2_HKL27ALXX L001	unsorted	v2
C113	C113_T_1_1_1_c1_v2	Yes	SRR15652880	C113_T_1_1_1_c1_v2_HG2HCCCXY L007_R1	CD45pMACS	v2
C113	C113_T_1_1_1_c1_v2	Yes	SRR15652881	C113_T_1_1_1_c1_v2_HKL27ALXX L001	CD45pMACS	v2
C114	C114_N_1_1_2_c1_v2	No	SRR15652882	C114_N_1_1_2_c1_v2_HG3C3CCXY L004	mixUnsortCD45MACS	v2
C114	C114_N_1_1_2_c1_v2	No	SRR15652883	C114_N_1_1_2_c1_v2_HKL27ALXX L002	mixUnsortCD45MACS	v2
C114	C114_T_1_1_0_c1_v2	Yes	SRR15652884	C114_T_1_1_0_c1_v2_HG2HCCCXY L002_R1	unsorted	v2
C114	C114_T_1_1_0_c1_v2	Yes	SRR15652885	C114_T_1_1_0_c1_v2_HKL27ALXX L002	unsorted	v2
C114	C114_T_1_1_1_c1_v2	Yes	SRR15652886	C114_T_1_1_1_c1_v2_HG2HCCCXY L007_R1	CD45pMACS	v2
C114	C114_T_1_1_1_c1_v2	Yes	SRR15652887	C114_T_1_1_1_c1_v2_HKL27ALXX L002	CD45pMACS	v2
C115	C115_N_1_1_2_c1_v2	No	SRR15652888	C115_N_1_1_2_c1_v2_HK7T7ALXX L002	mixUnsortCD45MACS	v2
C115	C115_T_1_1_1_c1_v2	Yes	SRR15652889	C115_T_1_1_1_c1_v2_HK7T7ALXX L002	CD45pMACS	v2
C115	C115_T_1_1_2_c1_v2	Yes	SRR15652890	C115_T_1_1_2_c1_v2_HK7T7ALXX L002	mixUnsortCD45MACS	v2
