patient	sample	cell	plate	nCount_RNA	nFeature_RNA	nCount_ERCC	nFeature_ERCC	ERCC_Conc	Condition	ExpectNumCells	Cell_Type	Cell_Type_and_Condition	percent.mt	percent.ercc
P1	S1	P1_A03_S17	P1	5222858.91	9714	2803	13	1^7	Uninfected	1	THP1	THP1-uninfected	7.622983635	0.053639138
P1	S1	P1_A04_S25	P1	6314506.99	10648	2042	14	1^7	Uninfected	1	THP1	THP1-uninfected	8.463038221	0.032327779
P1	S1	P1_A05_S33	P1	5053830.97	10334	1001	11	1^7	Uninfected	1	THP1	THP1-uninfected	7.374045792	0.019802834
P1	S1	P1_A06_S41	P1	4667488.93	9699	1794	11	1^7	Uninfected	1	THP1	THP1-uninfected	6.277718585	0.038421317
P1	S1	P1_A07_S49	P1	8502.98	2178	2	2	1^7	Uninfected	1	THP1	THP1-uninfected	8.326492594	0.023515634
P1	S1	P1_A08_S57	P1	10823814.98	9595	11365	15	1^7	Uninfected	1	HCT116	HCT116-uninfected	8.307816529	0.104889813
P1	S1	P1_A10_S73	P1	12382980.87	11351	6209	15	1^7	Uninfected	1	HCT116	HCT116-uninfected	12.78962591	0.050116271
P1	S1	P1_A11_S81	P1	9885053.82	10657	6316	11	1^7	Uninfected	1	HCT116	HCT116-uninfected	11.34610767	0.063853643
P1	S1	P1_A12_S89	P1	9988292.89	11140	4998	14	1^7	Uninfected	1	HCT116	HCT116-uninfected	7.13990867	0.050013555
P1	S1	P1_B03_S18	P1	4847639.9	11036	1959	13	1^7	Uninfected	1	THP1	THP1-uninfected	6.682665724	0.040395093
P1	S1	P1_B04_S26	P1	4558884.92	11377	1546	14	1^7	Uninfected	1	THP1	THP1-uninfected	6.551840751	0.033900305
P1	S1	P1_B05_S34	P1	5605902.89	11321	1989	10	1^7	Uninfected	1	THP1	THP1-uninfected	8.334672562	0.035467873
P1	S1	P1_B06_S42	P1	4903343.09	10695	1712	17	1^7	Uninfected	1	THP1	THP1-uninfected	7.296622803	0.034902768
P1	S1	P1_B07_S50	P1	7567.01	1899	3	3	1^7	Uninfected	1	THP1	THP1-uninfected	8.933647504	0.039630067
P1	S1	P1_B08_S58	P1	10499549.93	10430	4950	11	1^7	Uninfected	1	HCT116	HCT116-uninfected	5.619551828	0.047122662
P1	S1	P1_B10_S74	P1	8451701.09	9155	6883	14	1^7	Uninfected	1	HCT116	HCT116-uninfected	11.24188918	0.081372957
P1	S1	P1_B11_S82	P1	10959355.85	10006	9000	17	1^7	Uninfected	1	HCT116	HCT116-uninfected	12.26278431	0.082054231
P1	S1	P1_B12_S90	P1	12737319.95	10499	6596	10	1^7	Uninfected	1	HCT116	HCT116-uninfected	10.71704437	0.051758031
P1	S1	P1_C03_S19	P1	5250339.94	10754	2460	12	1^7	Uninfected	1	THP1	THP1-uninfected	9.393097697	0.046832166
P1	S1	P1_C04_S27	P1	4592478.99	11713	1643	14	1^7	Uninfected	1	THP1	THP1-uninfected	8.890717647	0.03576309
P1	S1	P1_C05_S35	P1	3848332.86	10779	1851	13	1^7	Uninfected	1	THP1	THP1-uninfected	6.587853474	0.048075626
P1	S1	P1_C06_S43	P1	33365.0	1862	13867	12	1^7	Uninfected	1	THP1	THP1-uninfected	2.380278735	29.35933266
P1	S1	P1_C07_S51	P1	7725.99	2025	3	3	1^7	Uninfected	1	THP1	THP1-uninfected	7.53197972	0.038814903
P1	S1	P1_C08_S59	P1	9639618.76	10916	8481	13	1^7	Uninfected	1	HCT116	HCT116-uninfected	8.637300818	0.08790332
P1	S1	P1_C10_S75	P1	8533020.91	9370	4931	15	1^7	Uninfected	1	HCT116	HCT116-uninfected	13.35168473	0.057753898
P1	S1	P1_C11_S83	P1	9027308.03	10432	5030	13	1^7	Uninfected	1	HCT116	HCT116-uninfected	9.785439769	0.055688793
P1	S1	P1_C12_S91	P1	6666669.93	8252	7085	15	1^7	Uninfected	1	HCT116	HCT116-uninfected	9.064639713	0.106162124
P1	S1	P1_D03_S20	P1	5961080.68	10066	3173	12	1^7	Uninfected	1	THP1	THP1-uninfected	8.426430491	0.053200286
P1	S1	P1_D04_S28	P1	5213274.01	10395	2654	13	1^7	Uninfected	1	THP1	THP1-uninfected	6.798990986	0.050882604
