patient	sample	plate	cell	fq1	fq2
4196	4249	P1	A01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A01_S1_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A01_S1_R2_001.fastq.gz
4196	4249	P1	B01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_B01_S2_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_B01_S2_R2_001.fastq.gz
4196	4249	P1	C01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_C01_S3_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_C01_S3_R2_001.fastq.gz
4196	4249	P1	D01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_D01_S4_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_D01_S4_R2_001.fastq.gz
4196	4249	P1	E01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_E01_S5_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_E01_S5_R2_001.fastq.gz
4196	4249	P1	F01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_F01_S6_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_F01_S6_R2_001.fastq.gz
4196	4249	P1	G01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_G01_S7_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_G01_S7_R2_001.fastq.gz
4196	4249	P1	H01	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_H01_S8_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_H01_S8_R2_001.fastq.gz
4196	4249	P1	A02	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A02_S9_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A02_S9_R2_001.fastq.gz
4196	4249	P1	B02	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_B02_S10_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_B02_S10_R2_001.fastq.gz
4196	4249	P1	C02	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_C02_S11_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_C02_S11_R2_001.fastq.gz
4196	4249	P1	D02	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_D02_S12_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_D02_S12_R2_001.fastq.gz
4196	4249	P1	E02	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_E02_S13_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_E02_S13_R2_001.fastq.gz
4196	4249	P1	F02	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_F02_S14_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_F02_S14_R2_001.fastq.gz
4196	4249	P1	G02	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_G02_S15_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_G02_S15_R2_001.fastq.gz
4196	4249	P1	A03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A03_S17_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A03_S17_R2_001.fastq.gz
4196	4249	P1	B03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_B03_S18_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_B03_S18_R2_001.fastq.gz
4196	4249	P1	C03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_C03_S19_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_C03_S19_R2_001.fastq.gz
4196	4249	P1	D03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_D03_S20_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_D03_S20_R2_001.fastq.gz
4196	4249	P2	E03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_E03_S21_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_E03_S21_R2_001.fastq.gz
4196	4249	P2	F03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_F03_S22_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_F03_S22_R2_001.fastq.gz
4196	4249	P2	G03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_G03_S23_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_G03_S23_R2_001.fastq.gz
4196	4249	P2	H03	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_H03_S24_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_H03_S24_R2_001.fastq.gz
4196	4249	P2	A04	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A04_S25_R1_001.fastq.gz	/data/Robinson-SB/Seq1_AAAGLMFM5_SS2/P01_A04_S25_R2_001.fastq.gz
