sample	well_quality	cell_type	fastq_url	patient
AZ_A1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630013/ERR1630013.fastq.gz	AZ
AZ_A10	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630014/ERR1630014.fastq.gz	AZ
AZ_A11	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630015/ERR1630015.fastq.gz	AZ
AZ_A12	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630016/ERR1630016.fastq.gz	AZ
AZ_A2	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630017/ERR1630017.fastq.gz	AZ
AZ_A3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630018/ERR1630018.fastq.gz	AZ
AZ_A4	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630019/ERR1630019.fastq.gz	AZ
AZ_A5	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630020/ERR1630020.fastq.gz	AZ
AZ_A6	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630021/ERR1630021.fastq.gz	AZ
AZ_A7	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630022/ERR1630022.fastq.gz	AZ
AZ_A8	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630023/ERR1630023.fastq.gz	AZ
AZ_A9	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630024/ERR1630024.fastq.gz	AZ
AZ_B1	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630025/ERR1630025.fastq.gz	AZ
AZ_B10	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630026/ERR1630026.fastq.gz	AZ
AZ_B11	OK	co-expression cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630027/ERR1630027.fastq.gz	AZ
AZ_B12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630028/ERR1630028.fastq.gz	AZ
AZ_B2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630029/ERR1630029.fastq.gz	AZ
AZ_B3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630030/ERR1630030.fastq.gz	AZ
AZ_B4	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630031/ERR1630031.fastq.gz	AZ
AZ_B5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630032/ERR1630032.fastq.gz	AZ
AZ_B6	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630033/ERR1630033.fastq.gz	AZ
AZ_B7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630034/ERR1630034.fastq.gz	AZ
AZ_B8	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630035/ERR1630035.fastq.gz	AZ
AZ_B9	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630036/ERR1630036.fastq.gz	AZ
AZ_C1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630037/ERR1630037.fastq.gz	AZ
AZ_C10	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630038/ERR1630038.fastq.gz	AZ
AZ_C11	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630039/ERR1630039.fastq.gz	AZ
AZ_C12	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630040/ERR1630040.fastq.gz	AZ
AZ_C2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630041/ERR1630041.fastq.gz	AZ
AZ_C3	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630042/ERR1630042.fastq.gz	AZ
AZ_C4	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630043/ERR1630043.fastq.gz	AZ
AZ_C5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630044/ERR1630044.fastq.gz	AZ
AZ_C6	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630045/ERR1630045.fastq.gz	AZ
AZ_C7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630046/ERR1630046.fastq.gz	AZ
AZ_C8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630047/ERR1630047.fastq.gz	AZ
AZ_C9	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630048/ERR1630048.fastq.gz	AZ
AZ_D1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630049/ERR1630049.fastq.gz	AZ
AZ_D10	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630050/ERR1630050.fastq.gz	AZ
AZ_D11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630051/ERR1630051.fastq.gz	AZ
AZ_D12	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630052/ERR1630052.fastq.gz	AZ
AZ_D2	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630053/ERR1630053.fastq.gz	AZ
AZ_D3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630054/ERR1630054.fastq.gz	AZ
AZ_D4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630055/ERR1630055.fastq.gz	AZ
AZ_D5	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630056/ERR1630056.fastq.gz	AZ
AZ_D6	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630057/ERR1630057.fastq.gz	AZ
AZ_D7	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630058/ERR1630058.fastq.gz	AZ
AZ_D8	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630059/ERR1630059.fastq.gz	AZ
AZ_D9	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630060/ERR1630060.fastq.gz	AZ
AZ_E1	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630061/ERR1630061.fastq.gz	AZ
AZ_E10	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630062/ERR1630062.fastq.gz	AZ
AZ_E11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630063/ERR1630063.fastq.gz	AZ
