patient	sample	lane	treatment	Run
M0	Sham4	S4_L001	Sham	SRR19978709
M0	Sham3	S3_L001	Sham	SRR19978711
M0	Sham2	S2_L001	Sham	SRR19978713
M0	Sham1	S1_L001	Sham	SRR19978715
M0	At4	S8_L001	Acidovorax temperans	SRR19978717
M0	At3	S7_L001	Acidovorax temperans	SRR19978719
M0	At2	S6_L001	Acidovorax temperans	SRR19978721
M0	At1	S5_L001	Acidovorax temperans	SRR19978723
M0	Sham4	S4_L002	Sham	SRR19978710
M0	Sham3	S3_L002	Sham	SRR19978712
M0	Sham2	S2_L002	Sham	SRR19978714
M0	Sham1	S1_L002	Sham	SRR19978716
M0	At4	S8_L002	Acidovorax temperans	SRR19978718
M0	At3	S7_L002	Acidovorax temperans	SRR19978720
M0	At2	S6_L002	Acidovorax temperans	SRR19978722
M0	At1	S5_L002	Acidovorax temperans	SRR19978724
