patient	plate	sample	Tumor	celltype1	fq1_url	fq2_url
Melanoma_72	Cy72_CD45	Cy72_CD45_H02_S758_comb	nonTumor	Bcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-H02_S758_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-H02_S758_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_B02_S974_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-B02_S974_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-B02_S974_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_D08_S524_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-D08_S524_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-D08_S524_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_B01_S301_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-B01_S301_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-B01_S301_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_B07_S883_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-B07_S883_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-B07_S883_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_B10_S118_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-B10_S118_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-B10_S118_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_D09_S717_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D09_S717_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D09_S717_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_A03_S387_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-A03_S387_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-A03_S387_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_B05_S497_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-B05_S497_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-B05_S497_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_C09_S897_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-C09_S897_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-C09_S897_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_F09_S453_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-F09_S453_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-F09_S453_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_D03_S999_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-D03_S999_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-D03_S999_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_C01_S697_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-C01_S697_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-C01_S697_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_D07_S523_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-D07_S523_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-D07_S523_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_C12_S228_comb	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-C12_S228_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-C12_S228_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_E05_S341_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-E05_S341_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-E05_S341_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_D04_S424_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-D04_S424_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-D04_S424_comb_R2_001.fastq.gz
