sample	fastq1	fastq2	patient	malignant	celltype	sample_num	sample_batch
cy53_1_CD45_neg_A03_S291	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A03-S291-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A03-S291-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	291	3
cy53_1_CD45_neg_A07_S295	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A07-S295-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A07-S295-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	295	3
cy53_1_CD45_neg_A10_S298	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A10-S298-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A10-S298-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	298	3
cy53_1_CD45_neg_A12_S300	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A12-S300-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-A12-S300-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	300	3
cy53_1_CD45_neg_B02_S302	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B02-S302-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B02-S302-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	302	3
cy53_1_CD45_neg_B04_S304	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B04-S304-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B04-S304-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	CAF	304	3
cy53_1_CD45_neg_B05_S305	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B05-S305-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B05-S305-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	305	3
cy53_1_CD45_neg_B06_S306	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B06-S306-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B06-S306-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	306	3
cy53_1_CD45_neg_B07_S307	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B07-S307-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B07-S307-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	307	3
cy53_1_CD45_neg_B11_S311	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B11-S311-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-B11-S311-comb_R2_001.fastq.gz	Melanoma_53	unknown	Endothelial	311	3
cy53_1_CD45_neg_C01_S313	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C01-S313-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C01-S313-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	CAF	313	3
cy53_1_CD45_neg_C04_S316	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C04-S316-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C04-S316-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	316	3
cy53_1_CD45_neg_C06_S318	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C06-S318-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C06-S318-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	318	3
cy53_1_CD45_neg_C09_S321	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C09-S321-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-C09-S321-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	321	3
cy53_1_CD45_neg_D02_S326	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D02-S326-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D02-S326-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	326	3
cy53_1_CD45_neg_D05_S329	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D05-S329-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D05-S329-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	329	3
cy53_1_CD45_neg_D06_S330	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D06-S330-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D06-S330-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	330	3
cy53_1_CD45_neg_D07_S331	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D07-S331-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D07-S331-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	CAF	331	3
cy53_1_CD45_neg_D08_S332	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D08-S332-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D08-S332-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	332	3
cy53_1_CD45_neg_D12_S336	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D12-S336-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-D12-S336-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	336	3
cy53_1_CD45_neg_E02_S338	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E02-S338-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E02-S338-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	338	3
cy53_1_CD45_neg_E03_S339	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E03-S339-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E03-S339-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	339	3
cy53_1_CD45_neg_E04_S340	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E04-S340-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E04-S340-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	340	3
cy53_1_CD45_neg_E12_S348	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E12-S348-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-E12-S348-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	348	3
cy53_1_CD45_neg_F07_S355	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-F07-S355-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-F07-S355-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	355	3
cy53_1_CD45_neg_F08_S356	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-F08-S356-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-F08-S356-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	356	3
cy53_1_CD45_neg_F09_S357	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-F09-S357-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-F09-S357-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	CAF	357	3
cy53_1_CD45_neg_G02_S362	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G02-S362-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G02-S362-comb_R2_001.fastq.gz	Melanoma_53	unknown	unknown	362	3
cy53_1_CD45_neg_G03_S363	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G03-S363-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G03-S363-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	363	3
cy53_1_CD45_neg_G06_S366	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G06-S366-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G06-S366-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	NK	366	3
cy53_1_CD45_neg_G07_S367	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G07-S367-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G07-S367-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	367	3
cy53_1_CD45_neg_G10_S370	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G10-S370-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-G10-S370-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	370	3
cy53_1_CD45_neg_H03_S375	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H03-S375-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H03-S375-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	375	3
