Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR8890780,RNA-Seq,124,4858357324,PRJNA509910,SAMN11407125,2166810625,CD45-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su003,SRX5676449,GSM3721446,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721446,Basal cell carcinoma tumor,SRP173389,post
SRR8890782,RNA-Seq,124,43560360644,PRJNA509910,SAMN11407848,20296623398,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su009,SRX5676451,GSM3721448,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721448,Basal cell carcinoma tumor,SRP173389,post
SRR8890784,RNA-Seq,124,7683687280,PRJNA509910,SAMN11407846,3418422393,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676453,GSM3721450,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721450,Basal cell carcinoma tumor,SRP173389,post
SRR8890786,RNA-Seq,124,32931163352,PRJNA509910,SAMN11407844,14715973721,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676455,GSM3721452,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721452,Squamous cell carcinoma tumor,SRP173389,post
SRR8890788,RNA-Seq,124,30790591156,PRJNA509910,SAMN11407842,14204532611,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676457,GSM3721454,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721454,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890790,RNA-Seq,124,35181992752,PRJNA509910,SAMN11407839,15513667756,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su011,SRX5676459,GSM3721456,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721456,Squamous cell carcinoma tumor,SRP173389,post
SRR8890792,RNA-Seq,124,13422164860,PRJNA509910,SAMN11407837,6043509359,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su011,SRX5676461,GSM3721458,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721458,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890794,RNA-Seq,124,27060964044,PRJNA509910,SAMN11407835,12103146053,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su012,SRX5676463,GSM3721460,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721460,Basal cell carcinoma tumor,SRP173389,pre
SRR8890796,RNA-Seq,124,11490792072,PRJNA509910,SAMN11407833,5193637898,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su013,SRX5676465,GSM3721462,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721462,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890797,RNA-Seq,124,2680329936,PRJNA509910,SAMN11407832,1163628528,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su014,SRX5676466,GSM3721463,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721463,Squamous cell carcinoma tumor,SRP173389,post
SRR8890799,RNA-Seq,302,9302813436,PRJNA509910,SAMN11407830,3670391540,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su009,SRX5676468,GSM3721465,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721465,Basal cell carcinoma tumor,SRP173389,post
SRR8890800,RNA-Seq,302,7859712778,PRJNA509910,SAMN11407829,3098952199,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su009,SRX5676469,GSM3721466,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721466,Basal cell carcinoma tumor,SRP173389,pre
SRR8890802,RNA-Seq,302,21625876324,PRJNA509910,SAMN11407827,9349593826,CD45+ CD3+ CD8+ CD39+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676471,GSM3721468,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721468,Squamous cell carcinoma tumor,SRP173389,post
SRR8890803,RNA-Seq,302,21473402866,PRJNA509910,SAMN11407826,9156208343,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676472,GSM3721469,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721469,Squamous cell carcinoma tumor,SRP173389,post
SRR8890807,RNA-Seq,302,21037007430,PRJNA509910,SAMN11407817,8546158376,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su011,SRX5676476,GSM3721473,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721473,Squamous cell carcinoma tumor,SRP173389,post
SRR8890809,RNA-Seq,302,12904463322,PRJNA509910,SAMN11407822,5501552097,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su011,SRX5676478,GSM3721475,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721475,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890812,RNA-Seq,302,1334419314,PRJNA509910,SAMN11407819,571247326,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su013,SRX5676481,GSM3721478,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721478,Squamous cell carcinoma tumor,SRP173389,post
SRR8890814,RNA-Seq,302,2170472188,PRJNA509910,SAMN11407815,918901917,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su014,SRX5676483,GSM3721480,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721480,Squamous cell carcinoma tumor,SRP173389,post
SRR8890815,RNA-Seq,302,12844450184,PRJNA509910,SAMN11407814,5471262224,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su014,SRX5676484,GSM3721481,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721481,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890779,RNA-Seq,124,7621178260,PRJNA509910,SAMN11407126,3453982092,CD45+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su003,SRX5676448,GSM3721445,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721445,Basal cell carcinoma tumor,SRP173389,post
SRR8890781,RNA-Seq,124,37955739328,PRJNA509910,SAMN11407849,17456499423,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su008,SRX5676450,GSM3721447,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721447,Basal cell carcinoma tumor,SRP173389,post
SRR8890783,RNA-Seq,124,29886314336,PRJNA509910,SAMN11407847,14029161899,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su009,SRX5676452,GSM3721449,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721449,Basal cell carcinoma tumor,SRP173389,pre
SRR8890785,RNA-Seq,124,34075719064,PRJNA509910,SAMN11407845,14987094996,CD45+ CD3+ CD8+ CD39+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676454,GSM3721451,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721451,Squamous cell carcinoma tumor,SRP173389,post
SRR8890787,RNA-Seq,124,5360127044,PRJNA509910,SAMN11407843,2465504392,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676456,GSM3721453,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721453,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890789,RNA-Seq,124,30247112672,PRJNA509910,SAMN11407841,13663646499,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676458,GSM3721455,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721455,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890791,RNA-Seq,124,15365690516,PRJNA509910,SAMN11407838,6708895501,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su011,SRX5676460,GSM3721457,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721457,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890793,RNA-Seq,124,2696715172,PRJNA509910,SAMN11407836,1214499023,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su012,SRX5676462,GSM3721459,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721459,Basal cell carcinoma tumor,SRP173389,post
SRR8890795,RNA-Seq,124,907246992,PRJNA509910,SAMN11407834,398166891,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su013,SRX5676464,GSM3721461,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721461,Squamous cell carcinoma tumor,SRP173389,post
SRR8890798,RNA-Seq,124,19813149536,PRJNA509910,SAMN11407831,9020579533,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su014,SRX5676467,GSM3721464,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721464,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890801,RNA-Seq,302,7429892788,PRJNA509910,SAMN11407828,3089041691,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676470,GSM3721467,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721467,Basal cell carcinoma tumor,SRP173389,post
SRR8890804,RNA-Seq,302,4290173344,PRJNA509910,SAMN11407825,1788389128,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676473,GSM3721470,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721470,Basal cell carcinoma tumor,SRP173389,pre
