sample	patient	celltype1	celltype2	Tumor
PD10_ZZM_TCD45n_241_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_345_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_347_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_352_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_354_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_356_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_357_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_358_20180104	P0104	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_100_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_10_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_102_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_107_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_110_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_11_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_112_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_117_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_120_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_12_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_124_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_13_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_147_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_150_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_151_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_154_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_156_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_158_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_159_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_161_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_16_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_163_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_164_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_167_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_170_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_172_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_174_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_176_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_179_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_18_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_182_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_184_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_186_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_20_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_22_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_29_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_31_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_36_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_38_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_40_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_47_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_49_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_50_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_52_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_59_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_60_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_61_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_62_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_63_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_65_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_69_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_71_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_76_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_77_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_78_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_79_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_80_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_89_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_90_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_92_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_96_20170411	P0411	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5103_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5104_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5115_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5116_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5118_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5125_20170413	P0413	Malignant	hC04_P1212	Tumor
PD10_ZZM_TP5127_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5139_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP514_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5142_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5150_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5164_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5168_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5176_20170413	P0413	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5179_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5188_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5190_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5195_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5198_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5202_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5208_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP522_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5226_20170413	P0413	Malignant	hC02_P0825	Tumor
PD10_ZZM_TP5238_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5242_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5243_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5260_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5261_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5263_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5264_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5273_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5282_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5285_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP540_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP546_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP548_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP549_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP550_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP554_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP556_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP558_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP561_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP567_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP571_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP576_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP579_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP588_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP592_20170413	P0413	Malignant	hC04_P1212	Tumor
PD10_ZZM_TP595_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP599_20170413	P0413	Malignant	hC01_P0413	Tumor
PD10_ZZM_TP5_163_20170720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_204_20170720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_211_20170720	P0720	Malignant	hC03_P0411	Tumor
